Row_ID;SI_ID;Species;Fish_ID;Total_Length_mm;Weight;Sex;EnterDate
1;15;Rudd;NA;199;112,50;NA;NA
2;15;Rudd;NA;205;116,30;NA;NA
3;15;Rudd;NA;122;22,00;NA;NA
4;15;Rudd;NA;126;23,00;NA;NA
5;15;Roach;NA;91;7,20;NA;NA
6;15;Rudd;NA;135;29,80;NA;NA
7;15;Rudd;NA;122;23,10;NA;NA
8;15;Rudd;NA;208;114,30;NA;NA
9;15;Rudd;NA;121;25,10;NA;NA
10;15;Roach;NA;101;9,60;NA;NA
11;15;Perch;NA;89;7,40;NA;NA
12;15;Perch;NA;100;11,30;NA;NA
13;15;Rudd;NA;102;13,40;NA;NA
14;15;Perch;NA;94;9,50;NA;NA
15;15;Crucian Carp;NA;119;30,10;NA;NA
16;15;Rudd;NA;125;22,10;NA;NA
17;15;Rudd;NA;128;26,20;NA;NA
18;15;Roach;NA;102;11,20;NA;NA
19;15;Perch;NA;97;11,10;NA;NA
20;15;Rudd;NA;138;31,20;NA;NA
21;15;Roach;NA;136;27,40;NA;NA
22;15;Perch;NA;97;10,10;NA;NA
23;15;Perch;NA;63;2,40;NA;NA
24;15;Perch;NA;99;11,00;NA;NA
25;15;Perch;NA;94;10,30;NA;NA
26;15;Roach;NA;54;2,00;NA;NA
27;15;Perch;NA;100;10,80;NA;NA
28;15;Perch;NA;97;9,90;NA;NA
29;15;Perch;NA;89;8,00;NA;NA
30;15;Perch;NA;98;12,00;NA;NA
31;15;Spined loach;NA;113;8,90;NA;NA
32;15;Perch;NA;104;13,00;NA;NA
33;15;Perch;NA;95;11,80;NA;NA
34;15;Crucian Carp;NA;124;32,90;NA;NA
35;15;Perch;NA;94;10,60;NA;NA
36;15;Roach;NA;102;11,20;NA;NA
37;15;Roach;NA;103;12,30;NA;NA
38;15;Perch;NA;105;12,70;NA;NA
39;15;Roach;NA;82;5,50;NA;NA
40;15;Perch;NA;83;6,80;NA;NA
41;15;Perch;NA;94;8,60;NA;NA
42;15;Perch;NA;92;9,70;NA;NA
43;15;Roach;NA;120;17,80;NA;NA
44;15;Perch;NA;99;12,10;NA;NA
45;15;Roach;NA;132;21,70;NA;NA
46;15;Perch;NA;101;10,40;NA;NA
47;15;Rudd;NA;110;15,40;NA;NA
48;15;Perch;NA;87;9,10;NA;NA
49;15;Perch;NA;102;10,60;NA;NA
50;15;Perch;NA;87;6,80;NA;NA
51;15;Perch;NA;92;9,00;NA;NA
