SI_ID;Date;Starttime;Endtime;Gear;Gear_Multiplier;Sampler_ID;Depth;Boat_Shore;Waterbody;Capture_Latitude;Capture_Longitude;Release_Latitude;Release_Longitude;GPSpoint1;GPSpoint2;Temperature_C;TempSampleTime;Salinity_PSU;Conductivity_myS_cm;Oxygenlevel_perc;Oxygenlevel_mgL;Visibility_cm;Vegetation;Notes;Lure_Type;Lure_Length;GSPdevice;NetHours;Site;Bites;Follower;Lure_Color;Wind;pH;Transect_Length_m;Schongebietsvergleich;Paired_Design;Comparison_Area_Name;Captured_Pike_No;EnterDate;Lure_Length_mm;Lure_ID;Zone;GPS_Track;Net_ID;Safe_Bites
1;2019-07-11;12:15:00;13:30:00;E;1;1;S;Boat;Barthe;54.319417;12.699083;54.335949;12.686367;1129;1130;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2019-07-11;15:00:00;15:10:00;E;1;1;S;Boat;Barthe;54.33804;12.685291;54.335884;12.686337;1132;1133;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2019-07-10;13:13:00;13:26:00;E;1;1;S;Boat;Barthe;54.314107;12.702211;54.312567;12.703852;1123;1124;17.4;NA;NA;1364;54.6;5.17;200;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2019-07-10;14:56:00;15:11:00;E;1;1;S;Boat;Barthe;54.310911;12.70472;54.312509;12.70387;1125;1126;18.8;NA;NA;1364;16.6;6.82;200;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2019-07-11;10:38:00;10:48:00;E;1;1;S;Boat;Barthe;54.315554;12.701514;54.313837;12.702453;1127;1128;18.8;NA;NA;1366;56.1;5.28;200;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;2019-07-12;13:16:00;13:42:00;E;1;1;M;Boat;Peene;53.972464;13.268719;53.96641;13.257406;1136;1138;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;2019-07-12;13:44:00;14:29:00;E;1;1;M;Boat;Peene;53.966119;13.258997;53.972451;13.267702;1139;1141;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;2019-07-12;11:13:00;11:25:00;E;1;1;M;Boat;Peene;53.967103;13.26204;53.966402;13.259149;1134;1135;19.7;NA;NA;2360;107;9.77;70;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;2019-07-12;16:09:00;16:32:00;E;1;1;M;Boat;Peene;53.892602;13.021617;53.892871;13.027841;1142;1143;20.6;NA;NA;732;72.5;6.5;120;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;2019-07-12;16:33:00;16:55:00;E;1;1;M;Boat;Peene;53.892274;13.027007;53.892627;13.022588;1144;1145;20.6;NA;NA;732;72.5;6.5;120;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;2019-07-12;11:53:00;12:06:00;E;1;1;M;Boat;Peene;53.965573;13.25457;53.96641;13.257406;1136;1137;20.9;NA;NA;2230;114.6;10.2;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;2019-07-09;14:33:00;14:52:00;E;1;1;S;Boat;Peene;53.858868;13.67288;53.856964;13.679378;1116;1117;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;2019-07-09;NA;NA;E;1;1;S;Boat;Peene;54.381989;13.267211;53.859312;13.685831;1118;1119;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;2019-07-08;18:32:00;18:45:00;E;1;1;S;Boat;Peene;53.85797;13.68243;53.857058;13.679714;1108;1109;17.1;NA;NA;4960;98.9;9.47;30;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;2019-07-09;10:52:00;11:06:00;E;1;1;S;Boat;Ryck;54.095907;13.429045;54.096824;13.423521;1112;1113;17.5;NA;NA;12340;96;9.25;50;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;2019-07-09;12:48:00;13:01:00;E;1;1;S;Boat;Ryck;54.099741;13.356038;54.099416;13.358293;1114;1115;17.8;NA;NA;12340;137.6;12.34;50;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;2019-07-10;09:56:00;10:08:00;O;1;1;S;Boat;Sehrowbach;54.377984;13.278693;54.378847;13.281524;1121;1122;17.1;NA;NA;8110;75;7.12;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
