Fish_ID;Year;Area;Box;Well;Sex;TL;Transmitter;DST;file.name
BH-90314;2020;Barthe;2;A1;M;612;12075;NA;Barthe2019-2020--Box2.csv
BH-90306;2020;Barthe;2;A2;M;612;12071;NA;Barthe2019-2020--Box2.csv
BH-90394;2020;Barthe;2;A3;F;477;NA;NA;Barthe2019-2020--Box2.csv
BH-90398;2020;Barthe;2;A4;F;600;NA;NA;Barthe2019-2020--Box2.csv
BH-90396;2020;Barthe;2;A5;F;446;NA;NA;Barthe2019-2020--Box2.csv
BH-00724;2019;Barthe;2;A6;NA;169;NA;NA;Barthe2019-2020--Box2.csv
BH-00725;2019;Barthe;2;A7;NA;234;NA;NA;Barthe2019-2020--Box2.csv
BH-00726;2019;Barthe;2;A8;NA;140;NA;NA;Barthe2019-2020--Box2.csv
BH-00727;2019;Barthe;2;A9;NA;180;NA;NA;Barthe2019-2020--Box2.csv
BH-90052;2020;Barthe;2;B1;F;790;12040;NA;Barthe2019-2020--Box2.csv
BH-90053;2020;Barthe;2;B2;M;572;NA;NA;Barthe2019-2020--Box2.csv
BH-90392;2020;Barthe;2;B3;M;651;12183;NA;Barthe2019-2020--Box2.csv
BH-00380;2019;Barthe;2;B4;F;426;NA;NA;Barthe2019-2020--Box2.csv
BH-00378;2019;Barthe;2;B5;M;430;NA;NA;Barthe2019-2020--Box2.csv
BH-00377;2019;Barthe;2;B6;U;483;NA;NA;Barthe2019-2020--Box2.csv
BH-00723;2019;Barthe;2;B7;NA;271;NA;NA;Barthe2019-2020--Box2.csv
BH-00728;2019;Barthe;2;B8;NA;169;NA;NA;Barthe2019-2020--Box2.csv
BH-00722;2019;Barthe;2;B9;NA;442;NA;NA;Barthe2019-2020--Box2.csv
BH-90093;2020;Barthe;2;C1;F;851;12263;NA;Barthe2019-2020--Box2.csv
BH-90322;2020;Barthe;2;C2;F;1152;12186;NA;Barthe2019-2020--Box2.csv
BH-90364;2020;Barthe;2;C3;F;636;12244;NA;Barthe2019-2020--Box2.csv
BH-90356;2020;Barthe;2;C4;F;481;NA;NA;Barthe2019-2020--Box2.csv
BH-90381;2020;Barthe;2;C5;M;614;12070;NA;Barthe2019-2020--Box2.csv
BH-00373;2019;Barthe;2;C6;U;120;NA;NA;Barthe2019-2020--Box2.csv
BH-00374;2019;Barthe;2;C7;U;100;NA;NA;Barthe2019-2020--Box2.csv
BH-00376;2019;Barthe;2;C8;M;381;NA;NA;Barthe2019-2020--Box2.csv
BH-00375;2019;Barthe;2;C9;U;107;NA;NA;Barthe2019-2020--Box2.csv
BH-90330;2020;Barthe;2;D1;F;810;12190;NA;Barthe2019-2020--Box2.csv
BH-90351;2020;Barthe;2;D2;F;751;12189;NA;Barthe2019-2020--Box2.csv
BH-90366;2020;Barthe;2;D3;M;616;12069;NA;Barthe2019-2020--Box2.csv
BH-90353;2020;Barthe;2;D4;F;569;NA;NA;Barthe2019-2020--Box2.csv
BH-00381;2019;Barthe;2;D5;M;415;NA;NA;Barthe2019-2020--Box2.csv
BH-00382;2019;Barthe;2;D6;M;495;NA;NA;Barthe2019-2020--Box2.csv
BH-00383;2019;Barthe;2;D7;F;455;NA;NA;Barthe2019-2020--Box2.csv
BH-00385;2019;Barthe;2;D8;F;765;NA;NA;Barthe2019-2020--Box2.csv
BH-00384;2019;Barthe;2;D9;F;625;NA;NA;Barthe2019-2020--Box2.csv
BH-00379;2019;Barthe;2;E1;F;503;NA;NA;Barthe2019-2020--Box2.csv
