"Plot Title: 20803907"
"#","Date Time, GMT+01:00","Full Range, μS/cm (LGR S/N: 20803907, SEN S/N: 20803907)","Temp, °C (LGR S/N: 20803907, SEN S/N: 20803907)","Coupler Detached (LGR S/N: 20803907)","Coupler Attached (LGR S/N: 20803907)","Stopped (LGR S/N: 20803907)","End Of File (LGR S/N: 20803907)"
1,03/23/20 06:00:00 PM,2.0,18.40,Logged,,,
2,03/23/20 07:00:00 PM,2.0,18.43,,,,
3,03/23/20 08:00:00 PM,-0.2,18.69,,,,
4,03/23/20 09:00:00 PM,-0.2,17.57,,,,
5,03/23/20 10:00:00 PM,-0.2,17.31,,,,
6,03/23/20 11:00:00 PM,2.0,17.42,,,,
7,03/24/20 12:00:00 AM,2.0,17.67,,,,
8,03/24/20 01:00:00 AM,2.0,17.83,,,,
9,03/24/20 02:00:00 AM,2.0,17.98,,,,
10,03/24/20 03:00:00 AM,2.0,18.11,,,,
11,03/24/20 04:00:00 AM,2.0,18.13,,,,
12,03/24/20 05:00:00 AM,2.0,18.14,,,,
13,03/24/20 06:00:00 AM,2.0,18.13,,,,
14,03/24/20 07:00:00 AM,2.0,18.14,,,,
15,03/24/20 08:00:00 AM,-0.2,14.88,,,,
16,03/24/20 09:00:00 AM,2.0,14.66,,,,
17,03/24/20 10:00:00 AM,-1.3,12.28,,,,
18,03/24/20 11:00:00 AM,2.0,11.90,,,,
19,03/24/20 12:00:00 PM,2.0,12.56,,,,
20,03/24/20 01:00:00 PM,2.0,13.93,,,,
21,03/24/20 02:00:00 PM,-0.2,13.82,,,,
22,03/24/20 03:00:00 PM,2.0,13.75,,,,
23,03/24/20 04:00:00 PM,2.0,14.00,,,,
24,03/24/20 05:00:00 PM,2.0,15.80,,,,
25,03/24/20 06:00:00 PM,2.0,13.19,,,,
26,03/24/20 07:00:00 PM,-0.2,11.26,,,,
27,03/24/20 08:00:00 PM,-0.2,9.89,,,,
28,03/24/20 09:00:00 PM,2.1,8.57,,,,
29,03/24/20 10:00:00 PM,2.1,7.23,,,,
30,03/24/20 11:00:00 PM,2.1,6.04,,,,
31,03/25/20 12:00:00 AM,2.1,5.08,,,,
32,03/25/20 01:00:00 AM,2.1,4.48,,,,
33,03/25/20 02:00:00 AM,2.1,4.02,,,,
34,03/25/20 03:00:00 AM,2.1,3.56,,,,
35,03/25/20 04:00:00 AM,2.1,3.09,,,,
36,03/25/20 05:00:00 AM,2.1,2.56,,,,
37,03/25/20 06:00:00 AM,2.1,2.18,,,,
38,03/25/20 07:00:00 AM,2.1,1.93,,,,
39,03/25/20 08:00:00 AM,2.1,1.83,,,,
40,03/25/20 09:00:00 AM,-1.6,2.79,,,,
41,03/25/20 10:00:00 AM,-1.3,7.68,,,,
42,03/25/20 11:00:00 AM,2.1,7.50,,,,
