"Plot Title: 20812408"
"#","Date Time, GMT+02:00","High Range, μS/cm (LGR S/N: 20812408, SEN S/N: 20812408)","Temp, °C (LGR S/N: 20812408, SEN S/N: 20812408)","Coupler Detached (LGR S/N: 20812408)","Coupler Attached (LGR S/N: 20812408)","Stopped (LGR S/N: 20812408)","End Of File (LGR S/N: 20812408)"
1,03/17/20 12:00:00 PM,0.0,18.04,Logged,,,
2,03/17/20 01:00:00 PM,0.0,15.24,,,,
3,03/17/20 02:00:00 PM,0.0,14.16,,,,
4,03/17/20 03:00:00 PM,0.0,12.15,,,,
5,03/17/20 04:00:00 PM,11023.1,6.53,,,,
6,03/17/20 05:00:00 PM,11177.0,6.73,,,,
7,03/17/20 06:00:00 PM,11248.5,6.81,,,,
8,03/17/20 07:00:00 PM,11189.2,6.54,,,,
9,03/17/20 08:00:00 PM,11272.0,6.63,,,,
10,03/17/20 09:00:00 PM,11264.5,6.58,,,,
11,03/17/20 10:00:00 PM,11353.4,6.67,,,,
12,03/17/20 11:00:00 PM,11587.7,7.02,,,,
13,03/18/20 12:00:00 AM,11589.6,7.06,,,,
14,03/18/20 01:00:00 AM,11490.6,6.85,,,,
15,03/18/20 02:00:00 AM,11483.9,6.84,,,,
16,03/18/20 03:00:00 AM,11483.9,6.87,,,,
17,03/18/20 04:00:00 AM,11451.4,6.93,,,,
18,03/18/20 05:00:00 AM,11421.9,6.89,,,,
19,03/18/20 06:00:00 AM,11318.3,6.91,,,,
20,03/18/20 07:00:00 AM,11275.8,6.87,,,,
21,03/18/20 08:00:00 AM,11251.3,6.82,,,,
22,03/18/20 09:00:00 AM,11230.6,6.82,,,,
23,03/18/20 10:00:00 AM,11220.2,6.84,,,,
24,03/18/20 11:00:00 AM,11163.9,6.82,,,,
25,03/18/20 12:00:00 PM,11133.9,6.78,,,,
26,03/18/20 01:00:00 PM,11108.7,6.81,,,,
27,03/18/20 02:00:00 PM,11094.7,6.93,,,,
28,03/18/20 03:00:00 PM,11069.6,6.98,,,,
29,03/18/20 04:00:00 PM,11062.1,6.96,,,,
30,03/18/20 05:00:00 PM,10956.4,7.00,,,,
31,03/18/20 06:00:00 PM,10787.4,6.90,,,,
32,03/18/20 07:00:00 PM,10857.0,6.96,,,,
33,03/18/20 08:00:00 PM,10670.9,6.94,,,,
34,03/18/20 09:00:00 PM,10690.0,7.03,,,,
35,03/18/20 10:00:00 PM,10612.1,7.06,,,,
36,03/18/20 11:00:00 PM,10590.5,7.12,,,,
37,03/19/20 12:00:00 AM,10512.3,7.12,,,,
38,03/19/20 01:00:00 AM,10532.0,7.13,,,,
39,03/19/20 02:00:00 AM,10482.7,7.13,,,,
40,03/19/20 03:00:00 AM,10466.6,7.13,,,,
41,03/19/20 04:00:00 AM,10503.3,7.08,,,,
42,03/19/20 05:00:00 AM,11238.1,7.28,,,,
43,03/19/20 06:00:00 AM,11189.2,6.87,,,,
44,03/19/20 07:00:00 AM,11064.0,6.45,,,,
45,03/19/20 08:00:00 AM,11014.7,6.27,,,,
46,03/19/20 09:00:00 AM,11006.4,6.22,,,,
47,03/19/20 10:00:00 AM,11007.3,6.23,,,,
48,03/19/20 11:00:00 AM,11022.2,6.27,,,,
