PN-Stellennr.	PN-Stellenbezeichnung	Probenahmedatum	Tiefeninformation	Parameter	Endergebnis	Einheit
111021001	GB10	24.08.2021 08:00	Grundnähe	Gesamt N	28.71	µmol/L
111021001	GB10	24.08.2021 08:00	Grundnähe	Gesamt P	1.22	µmol/L
111021001	GB10	24.08.2021 08:00		Gesamt P	1.22	µmol/L
111021001	GB10	24.08.2021 08:00		Gesamt N	32.47	µmol/L
112391500	RB15	26.08.2021 08:00		Gesamt N	163.06	µmol/L
112391500	RB15	26.08.2021 08:00		Gesamt P	3.49	µmol/L
112391500	RB15	22.07.2021 08:00		Gesamt N	168.37	µmol/L
112391500	RB15	22.07.2021 08:00		Gesamt P	3.66	µmol/L
112391500	RB15	21.06.2021 08:00		Gesamt P	4.06	µmol/L
112391500	RB15	21.06.2021 08:00		Gesamt N	148.78	µmol/L
112391500	RB15	20.05.2021 08:00		Gesamt N	150.74	µmol/L
112391500	RB15	20.05.2021 08:00		Gesamt P	2.26	µmol/L
112391500	RB15	15.04.2021 08:00		Gesamt N	141.36	µmol/L
112391500	RB15	15.04.2021 08:00		Gesamt P	2.82	µmol/L
112391500	RB15	29.03.2021 08:00		Gesamt N	152.82	µmol/L
112391500	RB15	29.03.2021 08:00		Gesamt P	2.78	µmol/L
112391500	RB15	25.02.2021 08:00		Gesamt P	2.45	µmol/L
112391500	RB15	25.02.2021 08:00		Gesamt N	166.02	µmol/L
112391500	RB15	18.01.2021 08:00		Gesamt N	129.01	µmol/L
112391500	RB15	18.01.2021 08:00		Gesamt P	1.98	µmol/L
112190202	RB2	19.07.2021 08:00		Gesamt N	40.07	µmol/L
112190202	RB2	19.07.2021 08:00		Gesamt P	1.11	µmol/L
112400185	RB1	19.07.2021 08:00		Gesamt P	1.14	µmol/L
112400185	RB1	19.07.2021 08:00		Gesamt N	52	µmol/L
112190202	RB2	07.06.2021 08:00		Gesamt N	57.36	µmol/L
112190202	RB2	07.06.2021 08:00		Gesamt P	1.47	µmol/L
112400185	RB1	07.06.2021 08:00		Gesamt P	1.49	µmol/L
112400185	RB1	07.06.2021 08:00		Gesamt N	60.22	µmol/L
112190202	RB2	17.05.2021 08:00		Gesamt P	1.17	µmol/L
112190202	RB2	17.05.2021 08:00		Gesamt N	40.14	µmol/L
112400185	RB1	17.05.2021 08:00		Gesamt N	41.5	µmol/L
112400185	RB1	17.05.2021 08:00		Gesamt P	1.27	µmol/L
112190202	RB2	26.04.2021 08:00		Gesamt P	0.42	µmol/L
112190202	RB2	26.04.2021 08:00		Gesamt N	21.32	µmol/L
112400185	RB1	26.04.2021 08:00		Gesamt N	24.67	µmol/L
112400185	RB1	26.04.2021 08:00		Gesamt P	0.45	µmol/L
112190202	RB2	22.03.2021 08:00		Gesamt N	40.34	µmol/L
112190202	RB2	22.03.2021 08:00		Gesamt P	0.55	µmol/L
112400185	RB1	22.03.2021 08:00		Gesamt P	0.4	µmol/L
112400185	RB1	22.03.2021 08:00		Gesamt N	27.51	µmol/L
112190202	RB2	27.01.2021 08:00		Gesamt N	51.93	µmol/L
112190202	RB2	27.01.2021 08:00		Gesamt P	0.91	µmol/L
112400185	RB1	27.01.2021 08:00		Gesamt P	0.73	µmol/L
112400185	RB1	27.01.2021 08:00		Gesamt N	38.3	µmol/L
111034806	P48	20.07.2021 08:00		Gesamt P	3.56	µmol/L
111034806	P48	20.07.2021 08:00		Gesamt N	81.74	µmol/L
111034208	P42	20.07.2021 08:00	Grundnähe	Gesamt P	3.21	µmol/L
111034208	P42	20.07.2021 08:00	Grundnähe	Gesamt N	73.64	µmol/L
111034208	P42	20.07.2021 08:00		Gesamt P	3.03	µmol/L
111034208	P42	20.07.2021 08:00		Gesamt N	68.51	µmol/L
111032085	P20	20.07.2021 08:00	Grundnähe	Gesamt P	3.21	µmol/L
111032085	P20	20.07.2021 08:00	Grundnähe	Gesamt N	60.94	µmol/L
111032085	P20	20.07.2021 08:00		Gesamt P	3.03	µmol/L
111032085	P20	20.07.2021 08:00		Gesamt N	57.38	µmol/L
111030108	AW1	20.07.2021 08:00		Gesamt P	3.58	µmol/L
111030108	AW1	20.07.2021 08:00		Gesamt N	86.05	µmol/L
111034806	P48	08.06.2021 08:00		Gesamt P	1.5	µmol/L
111034806	P48	08.06.2021 08:00		Gesamt N	81.88	µmol/L
111034208	P42	08.06.2021 08:00	Grundnähe	Gesamt P	1.58	µmol/L
111034208	P42	08.06.2021 08:00	Grundnähe	Gesamt N	75.02	µmol/L
111034208	P42	08.06.2021 08:00		Gesamt P	1.83	µmol/L
111034208	P42	08.06.2021 08:00		Gesamt N	79.75	µmol/L
111032085	P20	08.06.2021 08:00	Grundnähe	Gesamt P	1.99	µmol/L
111032085	P20	08.06.2021 08:00	Grundnähe	Gesamt N	63.48	µmol/L
111032085	P20	08.06.2021 08:00		Gesamt P	1.11	µmol/L
111032085	P20	08.06.2021 08:00		Gesamt N	82.35	µmol/L
111030108	AW1	08.06.2021 08:00		Gesamt P	0.7	µmol/L
111030108	AW1	08.06.2021 08:00		Gesamt N	84.14	µmol/L
111034806	P48	19.05.2021 08:00		Gesamt N	75.26	µmol/L
111034806	P48	19.05.2021 08:00		Gesamt P	1.74	µmol/L
111034208	P42	19.05.2021 08:00	Grundnähe	Gesamt N	78.02	µmol/L
111034208	P42	19.05.2021 08:00	Grundnähe	Gesamt P	2.41	µmol/L
111034208	P42	19.05.2021 08:00		Gesamt P	2.42	µmol/L
111034208	P42	19.05.2021 08:00		Gesamt N	73.82	µmol/L
111032085	P20	19.05.2021 08:00	Grundnähe	Gesamt P	2.04	µmol/L
111032085	P20	19.05.2021 08:00	Grundnähe	Gesamt N	51.56	µmol/L
111032085	P20	19.05.2021 08:00		Gesamt N	70.75	µmol/L
111032085	P20	19.05.2021 08:00		Gesamt P	2.22	µmol/L
111030108	AW1	19.05.2021 08:00		Gesamt N	73.2	µmol/L
111030108	AW1	19.05.2021 08:00		Gesamt P	1.68	µmol/L
111034806	P48	27.04.2021 08:00		Gesamt P	2.21	µmol/L
111034806	P48	27.04.2021 08:00		Gesamt N	75.59	µmol/L
