"waterbody"	"year"	"type"	"turbidity"	"SAL"	"WT"	"P"
"Baltic"	2005	"Coast"	3.52222222222222	7.43846153846154	9.44230769230769	1.06
"Baltic"	2006	"Coast"	3.1	7.295	9.63	1.276
"Baltic"	2007	"Coast"	2.8	9.21	10.109	1.13346153846154
"Baltic"	2008	"Coast"	2.725	8.68	10.4313333333333	1.067
"Baltic"	2009	"Coast"	3.4375	8.64782608695652	9.18630434782609	1.08130434782609
"Baltic"	2010	"Coast"	2.07777777777778	7.10833333333333	9.18875	0.944166666666667
"Baltic"	2011	"Coast"	2.37692307692308	7.86470588235294	9.73323529411765	0.962541176470588
"Baltic"	2012	"Coast"	2.77777777777778	8.94423076923077	9.99602564102564	1.20128205128205
"Baltic"	2013	"Coast"	2.30769230769231	8.05806451612903	11.0556451612903	1.22532258064516
"Baltic"	2014	"Coast"	3.01	8.02391304347826	14.505652173913	0.92804347826087
"Baltic"	2015	"Coast"	3.14736842105263	9.25897435897436	10.6907692307692	1.00025641025641
"Baltic"	2016	"Coast"	2.825	8.7796875	12.37484375	1.11078125
"Baltic"	2017	"Coast"	3.05454545454545	8.54814814814815	11.8555555555556	1.00037037037037
"Baltic"	2018	"Coast"	2.88	8.08387096774194	11.8352941176471	1.07176470588235
"Baltic"	2019	"Coast"	3.77272727272727	9.272	9.722	0.8022
"Baltic"	2020	"Coast"	4.25454545454545	8.89090909090909	9.22272727272727	0.921818181818182
"Baltic"	2021	"Coast"	3.06	8.75666666666667	10.87	0.725625
"Baltic"	2022	"Coast"	3.05	9.525	2.675	NA
"Bandycksgraben"	2012	"Freshwater"	NA	0	9.69166666666667	0.0625
"Bandycksgraben"	2015	"Freshwater"	NA	0	10.4166666666667	0.055
"Bandycksgraben"	2018	"Freshwater"	NA	0	9.81666666666667	0.0891666666666667
"Barthe"	2003	"Freshwater"	NA	0	10.8333333333333	1.03916666666667
"Barthe"	2005	"Freshwater"	NA	0	9.68333333333333	0.18875
"Barthe"	2012	"Freshwater"	NA	0	10.1833333333333	0.261666666666667
"Barthe"	2013	"Freshwater"	NA	0	9.79166666666667	0.256666666666667
"Barthe"	2014	"Freshwater"	NA	0	11.5333333333333	0.250833333333333
"Barthe"	2015	"Freshwater"	NA	0	11.1333333333333	0.21
"Barthe"	2016	"Freshwater"	NA	0	11.2333333333333	0.250833333333333
"Barthe"	2017	"Freshwater"	NA	0	11.2909090909091	0.173636363636364
"Barthe"	2018	"Freshwater"	NA	0	10.6833333333333	0.2075
"Barthe"	2019	"Freshwater"	NA	0	10.275	0.235
"Barthe"	2020	"Freshwater"	NA	0	11.3833333333333	0.198333333333333
"BAT"	2005	"Coast"	0.894117647058824	7.87941176470588	10.6617647058824	2.75529411764706
"BAT"	2006	"Coast"	0.74	7.16	13.4766666666667	2.89866666666667
"BAT"	2007	"Coast"	1.0825	8.08333333333333	11.2833333333333	3.5769696969697
"BAT"	2008	"Coast"	1.01818181818182	7.7030303030303	11.1484848484848	2.14242424242424
"BAT"	2009	"Coast"	1	8.04545454545454	11.1606060606061	1.88575757575758
"BAT"	2010	"Coast"	0.607142857142857	6.48846153846154	14.0615384615385	2.39038461538462
"BAT"	2011	"Coast"	0.54	6.33333333333333	12.0333333333333	2.53890909090909
"BAT"	2012	"Coast"	1.25294117647059	8.08181818181818	10.8212121212121	1.76060606060606
"BAT"	2013	"Coast"	0.7	6.53333333333333	12.38	2.30633333333333
"BAT"	2014	"Coast"	0.922222222222222	7.64705882352941	12.8647058823529	1.84705882352941
"BAT"	2015	"Coast"	0.971428571428571	8.28055555555556	10.6555555555556	2.25472222222222
"BAT"	2016	"Coast"	1.17272727272727	8.7030303030303	11.6151515151515	1.85333333333333
"BAT"	2017	"Coast"	1.01304347826087	8.52962962962963	10.7833333333333	2.03333333333333
"BAT"	2018	"Coast"	0.931818181818182	6.60909090909091	11.5454545454545	2.17090909090909
"BAT"	2019	"Coast"	1.2	8.89090909090909	10.3181818181818	1.94515151515152
"BAT"	2020	"Coast"	1.26666666666667	8.94545454545455	11.4454545454545	1.70212121212121
"BAT"	2021	"Coast"	0.712121212121212	8.02424242424242	11.2151515151515	2.40571428571429
"BAT"	2022	"Coast"	1.23333333333333	7.26666666666667	1.86666666666667	NA
"BoB"	2005	"Coast"	0.35	5.86666666666667	10.4833333333333	3.66
"BoB"	2006	"Coast"	0.35	4.51	12.8666666666667	4.85888888888889
"BoB"	2007	"Coast"	0.33	5.4	11.3583333333333	6.69363636363636
"BoB"	2008	"Coast"	0.3	5.10909090909091	10.6409090909091	3.41409090909091
"BoB"	2009	"Coast"	0.3	6.27272727272727	11.7772727272727	2.585
"BoB"	2010	"Coast"	0.291666666666667	4.41666666666667	13.3444444444444	2.84055555555556
"BoB"	2011	"Coast"	0.45	3.87916666666667	13.1083333333333	3.46095833333333
"BoB"	2012	"Coast"	0.4	4.9375	10.2875	2.8875
"BoB"	2013	"Coast"	0.35	4.27	12.81	2.748
"BoB"	2014	"Coast"	0.4	5.78636363636364	12.6954545454545	2.83863636363636
"BoB"	2015	"Coast"	0.35	6.20416666666667	11.175	3.40833333333333
"BoB"	2016	"Coast"	1.45	6.48636363636364	11.4454545454545	2.81409090909091
"BoB"	2017	"Coast"	0.333333333333333	6.405	10.955	3.3865
"BoB"	2018	"Coast"	0.375	4.60909090909091	11.2636363636364	2.865
"BoB"	2019	"Coast"	0.3	6.64090909090909	11.4045454545455	3.21681818181818
"BoB"	2020	"Coast"	0.4	7.16111111111111	11.6944444444444	2.46333333333333
"BoB"	2021	"Coast"	0.3	5.93636363636364	11.6545454545455	4.19
"BoB"	2022	"Coast"	0.7	5.1	1	NA
"Borchtitz"	2018	"Freshwater"	NA	0	9.60833333333333	0.305833333333333
"Brandshagen"	2006	"Freshwater"	NA	0	9.8625	0.110833333333333
"Brandshagen"	2007	"Freshwater"	NA	0	9.4	0.0816666666666667
"Brandshagen"	2008	"Freshwater"	NA	0	9.06666666666667	0.065
"Brandshagen"	2009	"Freshwater"	NA	0	9.35	0.0908333333333333
"Brandshagen"	2010	"Freshwater"	NA	0	8.35	0.0766666666666667
"Brandshagen"	2011	"Freshwater"	NA	0	9.44166666666667	0.0625
"Brandshagen"	2012	"Freshwater"	NA	0	9.45833333333333	0.0541666666666667
"Brandshagen"	2013	"Freshwater"	NA	0	8.90833333333333	0.0483333333333333
"Brandshagen"	2014	"Freshwater"	NA	0	8.34166666666667	0.0958333333333333
"Brandshagen"	2015	"Freshwater"	NA	0	8.66666666666667	0.0691666666666667
"Brandshagen"	2016	"Freshwater"	NA	0	7.51666666666667	0.0658333333333333
"Brandshagen"	2017	"Freshwater"	NA	0	8.43636363636364	0.0663636363636364
"Brandshagen"	2018	"Freshwater"	NA	0	8.20833333333333	0.05
"Brandshagen"	2019	"Freshwater"	NA	0	7.975	0.0666666666666667
"Brandshagen"	2020	"Freshwater"	NA	0	9.7	0.0683333333333333
"Flemendorf"	2006	"Freshwater"	NA	0	9.37916666666667	0.5325
"Flemendorf"	2007	"Freshwater"	NA	0	10.0541666666667	0.230416666666667
"Flemendorf"	2008	"Freshwater"	NA	0	10.2333333333333	0.458333333333333
"Flemendorf"	2009	"Freshwater"	NA	0	9.3	1.01
"Flemendorf"	2010	"Freshwater"	NA	0	8.22727272727273	0.348181818181818
"Flemendorf"	2011	"Freshwater"	NA	0	9.43333333333333	0.248333333333333
"Flemendorf"	2012	"Freshwater"	NA	0	9.05	0.645833333333333
"Flemendorf"	2014	"Freshwater"	NA	0	10.0583333333333	0.64
"Flemendorf"	2017	"Freshwater"	NA	0	9.95454545454546	0.445454545454545
"Flemendorf"	2020	"Freshwater"	NA	0	9.71666666666667	0.271666666666667
"GB"	2005	"Coast"	1.48125	7.26846153846154	9.56564102564102	1.415390625
"GB"	2006	"Coast"	1.67575757575758	6.99954545454545	9.45977272727273	1.93613636363636
"GB"	2007	"Coast"	1.61282051282051	7.67909090909091	11.3614545454545	1.85418367346939
"GB"	2008	"Coast"	1.65862068965517	6.96538461538462	12.9708333333333	1.32269230769231
"GB"	2009	"Coast"	1.92619047619048	7.06833333333333	9.29433333333333	1.34991666666667
"GB"	2010	"Coast"	1.18	6.21071428571429	12.6896428571429	2.02660714285714
"GB"	2011	"Coast"	0.979166666666667	6.09268292682927	10.7478048780488	1.57789024390244
"GB"	2012	"Coast"	1.48846153846154	7.7216049382716	11.6484567901235	1.20792682926829
"GB"	2013	"Coast"	1.24642857142857	6.10240963855422	12.7401204819277	1.48012048192771
"GB"	2014	"Coast"	1.40666666666667	6.82986111111111	13.5190972222222	1.55527777777778
"GB"	2015	"Coast"	1.6969696969697	7.84565217391304	10.7074456521739	1.28842391304348
"GB"	2016	"Coast"	2.10810810810811	7.59277108433735	13.3617469879518	1.47885542168675
"GB"	2017	"Coast"	2.14074074074074	7.5719298245614	13.4877192982456	1.4159649122807
"GB"	2018	"Coast"	1.81794871794872	6.66117647058824	12.866	1.9983
"GB"	2019	"Coast"	2.3875	7.8719696969697	9.08560606060606	1.22810606060606
"GB"	2020	"Coast"	2.65714285714286	7.821	8.897	1.3191
"GB"	2021	"Coast"	2.07	7.37611111111111	9.67777777777778	1.20425925925926
"GB"	2022	"Coast"	2.12	7.11	1.43	NA
"Greifswald"	2005	"Freshwater"	NA	0	10.4416666666667	0.0995833333333333
"Greifswald"	2006	"Freshwater"	NA	0	12.3916666666667	0.208333333333333
"Greifswald"	2007	"Freshwater"	NA	0	11.6270833333333	0.0935416666666667
"Greifswald"	2008	"Freshwater"	NA	0	11.5583333333333	0.130833333333333
"Greifswald"	2009	"Freshwater"	NA	0	11.7333333333333	0.1725
"Greifswald"	2010	"Freshwater"	NA	0	9.975	0.150833333333333
"Greifswald"	2011	"Freshwater"	NA	0	10.2708333333333	0.0908333333333333
"Greifswald"	2012	"Freshwater"	NA	0	11.2833333333333	0.1475
"Greifswald"	2013	"Freshwater"	NA	0	9.86363636363636	0.09
"Greifswald"	2014	"Freshwater"	NA	0	11.8291666666667	0.0858333333333333
"Greifswald"	2015	"Freshwater"	NA	0	10.8	0.139166666666667
"Greifswald"	2016	"Freshwater"	NA	0	10.1833333333333	0.136666666666667
"Greifswald"	2017	"Freshwater"	NA	0	11.7333333333333	0.1075
"Greifswald"	2018	"Freshwater"	NA	0	10.6909090909091	0.1775
"Greifswald"	2019	"Freshwater"	NA	0	10.6545454545455	0.122272727272727
"Greifswald"	2020	"Freshwater"	NA	0	11.7125	0.0916666666666667
"Hanshagen Ausbau"	2007	"Freshwater"	NA	0	9.95833333333333	0.0895833333333333
"Hanshagen Ausbau"	2012	"Freshwater"	NA	0	8.55833333333333	0.0925
"Hanshagen Ausbau"	2015	"Freshwater"	NA	0	9.78333333333333	0.0933333333333333
"Hanshagen Ausbau"	2018	"Freshwater"	NA	0	8.80909090909091	0.09
"Karow"	2005	"Freshwater"	NA	0	9.48333333333333	0.0966666666666667
"Karow"	2006	"Freshwater"	NA	0	10.0583333333333	0.1475
"Karow"	2007	"Freshwater"	NA	0	10.8166666666667	0.121666666666667
"Karow"	2008	"Freshwater"	NA	0	9.95	0.0933333333333333
"Karow"	2009	"Freshwater"	NA	0	8.76666666666667	0.0816666666666667
"Karow"	2010	"Freshwater"	NA	0	7.475	0.0933333333333333
"Karow"	2011	"Freshwater"	NA	0	9.65833333333333	0.1075
"Karow"	2012	"Freshwater"	NA	0	9.34166666666667	0.0841666666666667
