"name"	"id"	"waterbody"	"month"	"year"	"identifier"	"Lat"	"Long"	"type"	"turbidity"	"SAL"	"WT"
"Barth"	103070022	"Graben 44"	1	2003	"1_2003"	54.368420754341	12.7159304255493	"Freshwater"	NA	0	5
"Barth"	103070022	"Graben 44"	2	2003	"2_2003"	54.368420754341	12.7159304255493	"Freshwater"	NA	0	3.3
"Barth"	103070022	"Graben 44"	3	2003	"3_2003"	54.368420754341	12.7159304255493	"Freshwater"	NA	0	6.5
"Barth"	103070022	"Graben 44"	4	2003	"4_2003"	54.368420754341	12.7159304255493	"Freshwater"	NA	0	10.2
"Barth"	103070022	"Graben 44"	5	2003	"5_2003"	54.368420754341	12.7159304255493	"Freshwater"	NA	0	13.8
"Barth"	103070022	"Graben 44"	6	2003	"6_2003"	54.368420754341	12.7159304255493	"Freshwater"	NA	0	14.5
"Barth"	103070022	"Graben 44"	7	2003	"7_2003"	54.368420754341	12.7159304255493	"Freshwater"	NA	0	18.6
"Barth"	103070022	"Graben 44"	8	2003	"8_2003"	54.368420754341	12.7159304255493	"Freshwater"	NA	0	18.8
"Barth"	103070022	"Graben 44"	9	2003	"9_2003"	54.368420754341	12.7159304255493	"Freshwater"	NA	0	14.3
"Barth"	103070022	"Graben 44"	10	2003	"10_2003"	54.368420754341	12.7159304255493	"Freshwater"	NA	0	9.2
"Barth"	103070022	"Graben 44"	11	2003	"11_2003"	54.368420754341	12.7159304255493	"Freshwater"	NA	0	9.2
"Barth"	103070022	"Graben 44"	12	2003	"12_2003"	54.368420754341	12.7159304255493	"Freshwater"	NA	0	6.6
"DB1 Pramort"	103050101	"Barther Fahrwasser"	1	2005	"1_2005"	54.42	12.926671	"Coast"	1.35	11	2.9
"DB2 Sundische Wiese"	103050208	"Grabow"	1	2005	"1_2005"	54.39167	12.838331	"Coast"	0.75	11.3	2.9
"DB6 Barth oe."	103050603	"Barther Bodden"	1	2005	"1_2005"	54.395001	12.750001	"Coast"	0.52	9.8	2.6
"DB10 Bodstedt n."	103051008	"Bodstedter Bodden"	1	2005	"1_2005"	54.395001	12.623331	"Coast"	0.35	7.9	2.7
"DB16 Saal nw."	103051606	"Saaler Bodden"	1	2005	"1_2005"	54.335001	12.448331	"Coast"	0.2	4.9	3
"KB90 Fahrwasser I.Libitz w."	103059085	"Kubitzer Bodden"	1	2005	"1_2005"	54.40167	13.105001	"Coast"	1.43787878787879	10.1833333333333	3.36666666666667
"Barth"	103070014	"Barthe"	1	2005	"1_2005"	54.3663863698681	12.6874701057115	"Freshwater"	NA	0	2.9
"GB2 I.Vilm s."	105010285	"Greifswalder Bodden"	1	2005	"1_2005"	54.26667	13.516671	"Coast"	1.53	7.7	2.7
"GB3 Daenische Wiek n."	105010306	"Daenische Wiek"	1	2005	"1_2005"	54.15	13.483331	"Coast"	1.61428571428571	7.7	2.9
"GB7 Struck"	105010701	"Greifswalder Bodden"	1	2005	"1_2005"	54.20667	13.653331	"Coast"	1.575	7.65	3
"GB19 Zentralbereich"	105011907	"Greifswalder Bodden"	1	2005	"1_2005"	54.20667	13.566671	"Coast"	1.53125	7.8	3.25
"Kemnitz"	105210010	"Westziese"	1	2005	"1_2005"	54.0850610286063	13.5276303287714	"Freshwater"	NA	0	5.7
"Greifswald"	105340014	"Ryck"	1	2005	"1_2005"	54.0988078716915	13.3762719023408	"Freshwater"	NA	0	0.8
"S66 Stralsund"	109016609	"Andershofer Bucht"	1	2005	"1_2005"	54.28667	13.131671	"Coast"	1.16875	9.7	3.1
"Prohn"	109230015	"Prohner Bach"	1	2005	"1_2005"	54.3710907369313	13.0235076949181	"Freshwater"	NA	0	0.4
"GB10 Ruden s."	111021001	"Greifswalder Bodden"	1	2005	"1_2005"	54.18833	13.775001	"Coast"	1.29375	7.8	3.6
"AW1 Trockenort"	111030108	"Achterwasser"	1	2005	"1_2005"	54.01667	13.958331	"Coast"	0.57	3	0.6
"P20 Peenemuende s."	111032085	"Peenestrom"	1	2005	"1_2005"	54.121	13.773	"Coast"	1.11666666666667	4.85	0.4
"P42 Wolgast s."	111034208	"Peenestrom"	1	2005	"1_2005"	54.023358	13.760763	"Coast"	0.93	4.95	0.6
"P48 Lassan"	111034806	"Peenestrom"	1	2005	"1_2005"	53.96667	13.891671	"Coast"	0.6	3.5	0.8
"O133 suedl. Greifsw. Oie"	111071308	"Pommersche Bucht"	1	2005	"1_2005"	54.20333	13.905002	"Coast"	3.395	7.7	3.75
"Wolgast"	111140027	"Ostziese"	1	2005	"1_2005"	54.042512008582	13.7348408690934	"Freshwater"	NA	0	5.3
"Karow"	112050138	"Karower Muehlbach"	1	2005	"1_2005"	54.4028946481796	13.5057291508361	"Freshwater"	NA	0	8.3
"RB2 Vitte oe."	112190202	"Vitter Bodden"	1	2005	"1_2005"	54.57	13.131672	"Coast"	2.2	11.8	2.3
"RB3 Bugspitze s."	112190309	"Rassower Strom"	1	2005	"1_2005"	54.55333	13.178332	"Coast"	2.4125	12.05	5.7
"Kluis"	112230016	"Duvenbaek"	1	2005	"1_2005"	54.4649241302838	13.3055644900104	"Freshwater"	NA	0	7.7
"RB6 Wittower Faehre oe."	112280603	"Breetzer Bodden"	1	2005	"1_2005"	54.56333	13.293332	"Coast"	1.411	11.9	5.9
"Neuendorf"	112350018	"Sehrower Bach"	1	2005	"1_2005"	54.3821417140574	13.2670909497788	"Freshwater"	NA	0	7.9
"Vorwerk"	112370019	"Sagarder Bach"	1	2005	"1_2005"	54.519140218753	13.530008689413	"Freshwater"	NA	0	7.3
"RB9 Glowe sw."	112390909	"Gr. Jasmunder Bodden"	1	2005	"1_2005"	54.54333	13.426672	"Coast"	1	8.35	5.1
"RB10 Lietzow n."	112391004	"Gr. Jasmunder Bodden"	1	2005	"1_2005"	54.50667	13.490002	"Coast"	0.98	8.15	5.15
"RB15 Buschvitz oe."	112391500	"Kl. Jasmunder Bodden"	1	2005	"1_2005"	54.43167	13.491672	"Coast"	0.3	5.3	3.3
"RB1 Schaprode w."	112400185	"Schaproder Bodden"	1	2005	"1_2005"	54.515	13.125002	"Coast"	2.39090909090909	12	2.8
"DB1 Pramort"	103050101	"Barther Fahrwasser"	2	2005	"2_2005"	54.42	12.926671	"Coast"	1.35	9.4	0.4
"DB2 Sundische Wiese"	103050208	"Grabow"	2	2005	"2_2005"	54.39167	12.838331	"Coast"	0.75	8.7	0.2
"DB6 Barth oe."	103050603	"Barther Bodden"	2	2005	"2_2005"	54.395001	12.750001	"Coast"	0.52	7.8	0.3
"DB10 Bodstedt n."	103051008	"Bodstedter Bodden"	2	2005	"2_2005"	54.395001	12.623331	"Coast"	0.35	7.6	0.1
"DB16 Saal nw."	103051606	"Saaler Bodden"	2	2005	"2_2005"	54.335001	12.448331	"Coast"	0.2	4.8	0.1
