"date"	"id"	"SAL"	"W.T"	"day"	"month"	"year"	"Lat"	"Long"	"waterbody"	"type"
"2020-05-08"	20803900	6.05	13.48	8	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-09"	20803900	6.15	13.62	9	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-10"	20803900	6.21	13.95	10	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-11"	20803900	6.11	14.33	11	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-12"	20803900	6.15	13.14	12	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-13"	20803900	6.24	12.64	13	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-14"	20803900	6.19	12.84	14	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-15"	20803900	6.18	12.77	15	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-16"	20803900	6.22	12.58	16	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-17"	20803900	6.24	12.56	17	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-18"	20803900	6.24	12.59	18	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-19"	20803900	6.24	12.72	19	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-20"	20803900	6.21	12.98	20	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-21"	20803900	6.25	13.69	21	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-22"	20803900	6.24	14.72	22	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-23"	20803900	6.2	14.66	23	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-24"	20803900	6.22	14.41	24	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-25"	20803900	6.21	14.27	25	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-26"	20803900	6.2	14.62	26	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-27"	20803900	6.35	14.5	27	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-28"	20803900	6.13	15.95	28	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-29"	20803900	5.87	16.23	29	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-30"	20803900	5.91	17.06	30	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-05-31"	20803900	6.05	17.32	31	5	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-01"	20803900	6.1	16.92	1	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-02"	20803900	6.09	17.5	2	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-03"	20803900	6.1	18.67	3	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-04"	20803900	6.1	18.46	4	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-05"	20803900	6.14	17.92	5	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-06"	20803900	6.14	17.16	6	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-07"	20803900	6.15	16.91	7	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-08"	20803900	6.16	17.04	8	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-09"	20803900	6.16	17.2	9	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-10"	20803900	6.19	17.43	10	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-11"	20803900	6.21	17.94	11	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-12"	20803900	6.19	17.42	12	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-13"	20803900	6.18	17.42	13	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-14"	20803900	6.19	17.84	14	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-15"	20803900	6.24	17.78	15	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-16"	20803900	6.22	18.49	16	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-17"	20803900	6.09	19.52	17	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
"2020-06-18"	20803900	6.08	19.78	18	6	2020	54.4352833333333	13.5102166666667	"KJB"	"Coast"
