"name"	"id"	"waterbody"	"month"	"year"	"Lat"	"Long"	"type"	"SAL"
"Barth"	103070022	"Graben 44"	1	2003	54.368420754341	12.7159304255493	"Freshwater"	0
"Barth"	103070022	"Graben 44"	2	2003	54.368420754341	12.7159304255493	"Freshwater"	0
"Barth"	103070022	"Graben 44"	3	2003	54.368420754341	12.7159304255493	"Freshwater"	0
"Barth"	103070022	"Graben 44"	4	2003	54.368420754341	12.7159304255493	"Freshwater"	0
"Barth"	103070022	"Graben 44"	5	2003	54.368420754341	12.7159304255493	"Freshwater"	0
"Barth"	103070022	"Graben 44"	6	2003	54.368420754341	12.7159304255493	"Freshwater"	0
"Barth"	103070022	"Graben 44"	7	2003	54.368420754341	12.7159304255493	"Freshwater"	0
"Barth"	103070022	"Graben 44"	8	2003	54.368420754341	12.7159304255493	"Freshwater"	0
"Barth"	103070022	"Graben 44"	9	2003	54.368420754341	12.7159304255493	"Freshwater"	0
"Barth"	103070022	"Graben 44"	10	2003	54.368420754341	12.7159304255493	"Freshwater"	0
"Barth"	103070022	"Graben 44"	11	2003	54.368420754341	12.7159304255493	"Freshwater"	0
"Barth"	103070022	"Graben 44"	12	2003	54.368420754341	12.7159304255493	"Freshwater"	0
"DB1 Pramort"	103050101	"Barther Fahrwasser"	1	2005	54.42	12.926671	"Coast"	11
"DB2 Sundische Wiese"	103050208	"Grabow"	1	2005	54.39167	12.838331	"Coast"	11.3
"DB6 Barth oe."	103050603	"Barther Bodden"	1	2005	54.395001	12.750001	"Coast"	9.8
"DB10 Bodstedt n."	103051008	"Bodstedter Bodden"	1	2005	54.395001	12.623331	"Coast"	7.9
"DB16 Saal nw."	103051606	"Saaler Bodden"	1	2005	54.335001	12.448331	"Coast"	4.9
"KB90 Fahrwasser I.Libitz w."	103059085	"Kubitzer Bodden"	1	2005	54.40167	13.105001	"Coast"	10.1833333333333
"Barth"	103070014	"Barthe"	1	2005	54.3663863698681	12.6874701057115	"Freshwater"	0
"GB2 I.Vilm s."	105010285	"Greifswalder Bodden"	1	2005	54.26667	13.516671	"Coast"	7.7
"GB3 Daenische Wiek n."	105010306	"Daenische Wiek"	1	2005	54.15	13.483331	"Coast"	7.7
"GB7 Struck"	105010701	"Greifswalder Bodden"	1	2005	54.20667	13.653331	"Coast"	7.65
"GB19 Zentralbereich"	105011907	"Greifswalder Bodden"	1	2005	54.20667	13.566671	"Coast"	7.8
"Kemnitz"	105210010	"Westziese"	1	2005	54.0850610286063	13.5276303287714	"Freshwater"	0
"Greifswald"	105340014	"Ryck"	1	2005	54.0988078716915	13.3762719023408	"Freshwater"	0
"S66 Stralsund"	109016609	"Andershofer Bucht"	1	2005	54.28667	13.131671	"Coast"	9.7
"Prohn"	109230015	"Prohner Bach"	1	2005	54.3710907369313	13.0235076949181	"Freshwater"	0
"GB10 Ruden s."	111021001	"Greifswalder Bodden"	1	2005	54.18833	13.775001	"Coast"	7.8
"AW1 Trockenort"	111030108	"Achterwasser"	1	2005	54.01667	13.958331	"Coast"	3
"P20 Peenemuende s."	111032085	"Peenestrom"	1	2005	54.121	13.773	"Coast"	4.85
"P42 Wolgast s."	111034208	"Peenestrom"	1	2005	54.023358	13.760763	"Coast"	4.95
"P48 Lassan"	111034806	"Peenestrom"	1	2005	53.96667	13.891671	"Coast"	3.5
"O133 suedl. Greifsw. Oie"	111071308	"Pommersche Bucht"	1	2005	54.20333	13.905002	"Coast"	7.7
"Wolgast"	111140027	"Ostziese"	1	2005	54.042512008582	13.7348408690934	"Freshwater"	0
"Karow"	112050138	"Karower Muehlbach"	1	2005	54.4028946481796	13.5057291508361	"Freshwater"	0
"RB2 Vitte oe."	112190202	"Vitter Bodden"	1	2005	54.57	13.131672	"Coast"	11.8
"RB3 Bugspitze s."	112190309	"Rassower Strom"	1	2005	54.55333	13.178332	"Coast"	12.05
