Longitude,Latitude,Station.name,Section,Bodden,Bodden.Gate,Bodden.Gate.ALL,Fishereibezirke,MPA.Name,MPA.Range,MPA.Nearest,PA.Name,PA.Range,PA.Nearest,Fishing.Pressure,Boating.Reg.Name,Range.m,Range75,Include,Depth,Water.Level.Station
13.10428333,54.35595,000_R,Brackish,S,Gate7,Gate7,S,,,,,,,H,,808.3333333,1312.777778,,-537,STRALSUND
13.06335,54.45505,001_R,Brackish,KbSb,Gate3,Gate3,S,"Der ""Bock""",FSB_01,FSB_01,Vorpommersche Boddenlandschaft,NPC_01,NPC_01,H,,808.3333333,1312.777778,No,-460,BARHOEFT
13.24686667,54.59606667,002_R,Brackish,VbGjb,VbGjb,WB,HRW,,,,,,,H,,596.8181818,959,,-420,WITTOWER FAEHRE
13.01963333,54.44171667,003_R,Brackish,KbSb,Gate1,Gate1,BAT,"Der ""Bock""",FSB_01a,FSB_01a,Vorpommersche Boddenlandschaft,NPC_01,NPC_01,H,,808.3333333,1312.777778,,-450,BARHOEFT
12.99873333,54.43861667,004_R,Brackish,BAT,Gate1,Gate1,BAT,,,,Vorpommersche Boddenlandschaft,NPC_01,NPC_01,H,,808.3333333,1312.777778,,-350,BARHOEFT
13.15978333,54.57243333,005_R,Brackish,KbSb,Gate6,Gate6,HRW,"Der ""Libben""",FSB_02,FSB_02,Vorpommersche Boddenlandschaft - North,NPC_02,NPC_02,H,,167.2727273,313.1818182,,-360,KLOSTER
13.15585,54.56685,006_R,Brackish,KbSb,Gate6,Gate6,HRW,"Der ""Libben""",FSB_02,FSB_02,Vorpommersche Boddenlandschaft - North,NPC_02,NPC_02,H,,167.2727273,313.1818182,,-167,KLOSTER
13.17526667,54.55298333,007_R,Brackish,VbGjb,Gate5,Gate5,HRW,,,,,,NPC_02,H,,167.2727273,313.1818182,,-368,WITTOWER FAEHRE
13.18343333,54.55491667,008_R,Brackish,VbGjb,Gate6,Gate6,HRW,,,,Vorpommersche Boddenlandschaft - North,NPC_02,NPC_02,H,,167.2727273,313.1818182,No,-463,WITTOWER FAEHRE
13.49868333,54.4831,009_R,Brackish,VbGjb,VbGjb,GJB,HRO,Westteil der Litzower Bucht,LSB_12,LSB_12,,,,M,,596.8181818,959,,,
13.5024,54.47665,010_R,Brackish,KJB,KJB,KJB,KJB,"""Nodteil kleiner Jasmunder Bodden""",FSB_03,FSB_03,,,,L,,596.8181818,959,,,
13.75241667,54.14155,011_R,Brackish,P,Gate9,Gate9,P,"""Peenemuendung""",FSB_05,FSB_05,,,,H,,204.0909091,373.1818182,,-600,KARLSHAGEN
13.7557,54.13658333,012_R,Brackish,P,Gate9,Gate9,P,"""Peenemuendung""",,FSB_05,,,,H,,204.0909091,373.1818182,,-493,KARLSHAGEN
13.29748333,54.23716667,013_R,Brackish,GB,Gate8,Gate8,GB,,,,,,,H,,900,1329.5,,-640,STAHLBRODE
13.27,54.24591667,014_R,Brackish,S,Gate8,Gate8,GB,,,,,,,H,,900,1329.5,,-655,STAHLBRODE
13.27058333,54.25053333,015_R,Brackish,S,Gate8,Gate8,GB,,,,,,,H,,900,1329.5,,-254,STAHLBRODE
13.26856667,54.24088333,016_R,Brackish,S,Gate8,Gate8,GB,,,,,,,H,,900,1329.5,,-389,STAHLBRODE
13.46813333,54.52978333,017_R,Brackish,VbGjb,VbGjb,GJB,HRO,,,,,,,M,,596.8181818,959,,,
12.95271667,54.43038333,018_R,Brackish,BAT,BAT,BAT,BAT,,,,Vorpommersche Boddenlandschaft,NPC_01,NPC_01,H,,808.3333333,1312.777778,,-200,BARHOEFT
13.29175,54.23578333,019_R,Brackish,GB,Gate8,Gate8,GB,,,,,,,H,,900,1329.5,,-171,STAHLBRODE
13.30405,54.24045,020_R,Brackish,GB,Gate8,Gate8,GB,Puddemiener Wiek,,LSB_04,,,,H,,900,1329.5,,-622,STAHLBRODE
13.30951667,54.24333333,021_R,Brackish,GB,Gate8,Gate8,GB,Puddemiener Wiek,,LSB_04,,,,H,,900,1329.5,,-252,STAHLBRODE
12.68563333,54.37165,022_R,Fresh,Barthe,Barthe,Barthe,BAT,Barther Strom,LSB_02,LSB_02,,,,M,,204.0909091,373.1818182,,,
13.79438333,53.85675,023_R,Fresh,Peene,Peene,Peene,SH,,,,Unteres Peenetal (Peenetalmoor),NSG_15,NSG_15,M,,204.0909091,373.1818182,,-500,KARNIN
13.66801667,53.85996667,024_R,Fresh,Peene,Peene,Peene,Peene,,,,Peenetal von Jarmen bis Anklam,NSG_16,NSG_16,M,,204.0909091,373.1818182,,-500,ANKLAM
12.69923333,54.31948333,025_R,Fresh,Barthe,Barthe,Barthe,Barthe,,,,,,,M,,204.0909091,373.1818182,,,
13.1119,54.35366667,026_R,Brackish,S,Gate7,Gate7,S,,,,,,,H,,808.3333333,1312.777778,,-790,STRALSUND
13.7314,54.26978333,027_R,Brackish,GB,Gate10,Gate10,AS,,,,,,,H,,631.25,1028.333333,No,-750,THIESSOW
13.20823333,54.55951667,028_R,Brackish,VbGjb,VbGjb,WB,HRW,,,,,,,H,,167.2727273,313.1818182,No,-266,WITTOWER FAEHRE
13.09201667,54.36055,029_R,Brackish,S,Gate7,Gate7,S,,,,,,,H,,808.3333333,1312.777778,,-210,STRALSUND
13.19393333,54.29055,030_R,Brackish,S,S,S,S,Gustower Wiek,LSB_19,LSB_19,,,,H,GWB-02,900,1329.5,,-260,STRALSUND
13.1027,54.37123333,031_R,Brackish,KbSb,Gate7,Gate7,S,,,,,,,H,,808.3333333,1312.777778,,-559,STRALSUND
13.11233333,54.37026667,032_R,Brackish,KbSb,Gate7,Gate7,S,,,,,,,H,,808.3333333,1312.777778,,-625,STRALSUND
13.79846667,54.20808333,033_R,Brackish,GB,Gate10,Gate10,AS,,,,"Peenemuender Haken, Struck und BARHOEFT- Gebietsteil A",NSG_12,NSG_12,H,,631.25,1028.333333,,-345,RUDEN
13.11658333,54.37071667,034_R,Brackish,KbSb,Gate7,Gate7,S,,,,,,,H,BFMW,808.3333333,1312.777778,,-264,STRALSUND
13.28408333,54.38078333,035_R,Fresh,Sehrowbach,Sehrowbach,Sehrowbach,Sehrowbach,,,,,,,L,,204.0909091,373.1818182,,,
13.24845,54.38188333,036_R,Brackish,KbSb,KbSb,KB,S,Kubitzer Bodden,LSB_17,LSB_17,,,,L,BFMW,808.3333333,1312.777778,,,
13.23225,54.40306667,037_R,Fresh,Landowbach,Landowbach,Landowbach,Landowbach,Kubitzer Bodden,LSB_17,LSB_17,,,,L,BFAW,808.3333333,1312.777778,,,
13.16143333,54.44821667,038_R,Brackish,KbSb,KbSb,SB,S,,,,,,,H,BFMW,808.3333333,1312.777778,,,
13.25203333,54.47361667,039_R,Brackish,KbSb,KbSb,SB,HRW,Gewaesser zwischen Ummanz und Ruegen,LSB_13,LSB_13,,,,L,BFAW,204.0909091,373.1818182,,,
13.28128333,54.47626667,040_R,Fresh,Duwenbeek,Duwenbeek,Duwenbeek,Duwenbeek,,,,,,,L,,204.0909091,373.1818182,,,
13.27903333,54.55868333,041_R,Brackish,VbGjb,VbGjb,BRT,HRO,,,,,,,H,,596.8181818,959,,-325,WITTOWER FAEHRE
13.17446667,54.55641667,042_R,Brackish,VbGjb,Gate5,Gate5,HRW,,,,Vorpommersche Boddenlandschaft - North,NPC_02,NPC_02,H,,167.2727273,313.1818182,,-325,WITTOWER FAEHRE
13.18145,54.55793333,043_R,Brackish,VbGjb,Gate5,Gate5,HRW,,,,Vorpommersche Boddenlandschaft - North,NPC_02,NPC_02,H,,167.2727273,313.1818182,,-250,WITTOWER FAEHRE
13.18561667,54.55215,044_R,Brackish,VbGjb,Gate5,Gate5,HRW,,,,,,,H,,167.2727273,313.1818182,,-233,WITTOWER FAEHRE
13.2706,54.6287,045_R,Brackish,VbGjb,VbGjb,WB,HRW,Nordteil des Wieker Bodden,LSB_11,LSB_11,,,,H,,596.8181818,959,,-253,WITTOWER FAEHRE
13.35466667,54.55071667,046_R,Brackish,VbGjb,VbGjb,BRG,HRO,,,,Tetzitzer See mit Halbinsel Liddow und Banzelvitzer Berge,NSG_02,NSG_02,M,,596.8181818,959,,,
13.46166667,54.09868333,047_R,Brackish,GB,GB,GB-S,GB,Muendungsgebiet Ryck,FSB_04,FSB_04,,,,M,GWB-36,900,1329.5,,-321,GREIFSWALD-WIECK
13.39908333,54.0995,048_R,Fresh,Ryck,Ryck,Ryck,GB,,,,,,,H,,204.0909091,373.1818182,,-262,GREIFSWALD-WIECK
13.37283333,54.17898333,049_R,Brackish,GB,GB,GB-S,GB,Gustower Wiek,LSB_22,LSB_22,"Insel Koos, Kooser See und Wampener Riff",NSG_14,NSG_14,M,,900,1329.5,,-262,GREIFSWALD-WIECK
13.42663333,54.16033333,050_R,Brackish,GB,GB,GB-S,GB,,,,"Insel Koos, Kooser See und Wampener Riff",NSG_14,NSG_14,M,,900,1329.5,,-267,GREIFSWALD-WIECK
13.68965,54.1593,051_R,Brackish,P,GB,GB-S,P,Freesendorfer See,LSB_14,LSB_14,"Peenemuender Haken, Struck und BARHOEFT- Gebietsteil A - Lake",NSG_13,NSG_13,L,,631.25,1028.333333,,,
13.68051667,54.32035,052_R,Brackish,GB,GB,GB-N,GB,,,,Moenchgut: Schafberg bei Mariendorf,,NSG_18,M,,900,1329.5,,,
13.64936667,54.34438333,053_R,Brackish,GB,GB,GB-N,GB,Neuensiener See,LSB_08,LSB_08,Moenchgut: Having und Reddevitzer Hoeft,NSG_10,NSG_10,M,,900,1329.5,,,
13.30038333,54.25698333,054_R,Brackish,GB,Gate8,Gate8,GB,Puddemiener Wiek,LSB_04,LSB_04,Vogelhaken Glewitz,NSG_06,NSG_06,H,,900,1329.5,,-265,STAHLBRODE
