"ID"	"capt"	"area"	"clust"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"d18O"
"BH-00670"	"KB"	"Marine"	2	0.00464205540309091	0.00793479594054546	9.66917388981818e-05	1.19068513436364e-05	7.914251782e-05	-7.3693668
"BH-00670"	"KB"	"Marine"	2	0.00414970293854546	0.00799997239209626	0.00011907114861369	9.37805562743316e-06	8.37203095526203e-05	-6.60762365294118
"BH-00670"	"KB"	"Marine"	2	0.00397135652151872	0.00739243375608556	0.000121047605572193	7.72226209920855e-06	6.82950869726203e-05	-6.98820992941176
"BH-00670"	"KB"	"Marine"	2	0.00366692016542246	0.0081571357833369	0.000109821647565455	5.90436446060963e-06	5.08221531341176e-05	-6.69093039411765
"BH-00670"	"KB"	"Marine"	2	0.0037031012644492	0.0085618030891123	8.89820186822461e-05	4.52980409526203e-06	3.7129937908984e-05	-5.78539752941176
"BH-00670"	"KB"	"Marine"	2	0.00388909896342246	0.00879402447655615	7.93658362130482e-05	4.78006126939038e-06	3.03800193223529e-05	-5.99537616470588
"BH-00670"	"KB"	"Marine"	2	0.00390443130005347	0.00894339674318716	8.32971103531551e-05	5.92991771062032e-06	3.19233957480214e-05	-7.01673963529412
"BH-00670"	"KB"	"Marine"	2	0.00387126696951872	0.00808652252081283	7.63182356975401e-05	6.11698681336898e-06	3.55968300586096e-05	-6.42788650588235
"BH-00670"	"KB"	"Marine"	2	0.00392069930891979	0.0076839555068877	5.63793722037433e-05	6.6623765946738e-06	2.37110836565775e-05	-5.01395428235294
"BH-00670"	"KB"	"Marine"	2	0.00402891606998931	0.00626999260474868	3.85898436962568e-05	5.94802551478074e-06	5.61881443251337e-06	-4.89412951764706
"BH-00670"	"KB"	"Marine"	2	0.00426046071469519	0.00638739612541176	4.44195803650268e-05	6.06009050620321e-06	5.91819830188236e-06	-4.55862017647059
"BH-00670"	"KB"	"Marine"	2	0.00404937398340107	0.00700221015146524	7.01692568101603e-05	6.00576143065241e-06	1.75908911091978e-05	-5.08413735882353
"BH-00670"	"KB"	"Marine"	2	0.00409005508382887	0.00707584725916577	6.95657143395721e-05	5.81735776787165e-06	3.18315947137968e-05	-6.26241421176471
"BH-00670"	"KB"	"Marine"	2	0.00408565166237433	0.00633540434438502	5.69089527281283e-05	5.94756086605347e-06	3.36016863717647e-05	-5.86356892352941
"BH-00670"	"KB"	"Marine"	2	0.00440846927166845	0.00591388696722995	5.64493427639572e-05	6.60132094501604e-06	2.89326452870589e-05	-5.01794844117647
"BH-00670"	"KB"	"Marine"	2	0.00486597024915509	0.00657007231168985	6.18002799690909e-05	6.64346521674867e-06	3.37174620530481e-05	-5.52577720588235
"BH-00670"	"KB"	"Marine"	2	0.00383736267700534	0.0071087606362353	4.83691141463101e-05	4.61606132547593e-06	4.21848467542246e-05	-5.17029707058824
"BH-00670"	"KB"	"Marine"	2	0.00485018024545455	0.00778385955345455	5.62011189709091e-05	5.72060908472727e-06	2.614717232e-05	-5.1189436
"BH-00670"	"KB"	"Marine"	2	0.00530638619080214	0.00756741230431016	5.42635305757219e-05	3.46824149595722e-06	1.19022908385027e-05	-4.55405542352941
"BH-00670"	"KB"	"Marine"	2	0.00568423325314439	0.00767414575535829	4.85553811672727e-05	4.88425443590375e-06	1.37696613258609e-05	-3.98174952352941
"BH-00670"	"KB"	"Marine"	2	0.00514378179424599	0.00606636150554011	4.45224288055615e-05	5.72273579950803e-06	2.20839628004278e-05	-4.82679941176471
