"ID"	"capt"	"area"	"clust"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"d18O"
"BH-00670"	"KB"	"Marine"	2	0.00416333333333333	0.00808	0.000120555555555556	8.35111111111111e-06	9.04111111111111e-05	-6.93840521428571
"BH-00670"	"KB"	"Marine"	2	0.00412522088353414	0.00805947791164659	0.000121239625167336	8.15957161981258e-06	9.14469879518072e-05	-7.00584400476191
"BH-00670"	"KB"	"Marine"	2	0.00415289156626506	0.00799847389558233	0.000122008032128514	8.06502008032128e-06	9.0534672021419e-05	-7.00666765065978
"BH-00670"	"KB"	"Marine"	2	0.00417184738955823	0.00796510040160642	0.000123854082998661	7.85105756358768e-06	8.85894243641232e-05	-6.99691746408491
"BH-00670"	"KB"	"Marine"	2	0.00414327978580991	0.00789161981258367	0.000125583668005355	7.52520749665328e-06	8.46902275769746e-05	-6.97017679827883
"BH-00670"	"KB"	"Marine"	2	0.00408748326639893	0.00775424364123159	0.000125493975903614	7.18285140562249e-06	7.94725568942436e-05	-6.9315823097533
"BH-00670"	"KB"	"Marine"	2	0.00404076305220884	0.00761376171352075	0.000123529451137885	6.86993306559572e-06	7.41982597054886e-05	-6.89298782122777
"BH-00670"	"KB"	"Marine"	2	0.00401109772423025	0.00752883534136546	0.000121182730923695	6.58121820615797e-06	6.91362784471218e-05	-6.85439333270224
"BH-00670"	"KB"	"Marine"	2	0.0039791030789826	0.00740744310575636	0.00011826171352075	6.42672021419009e-06	6.3855421686747e-05	-6.81579884417671
"BH-00670"	"KB"	"Marine"	2	0.00393024096385542	0.00737226238286479	0.000117870816599732	6.29283801874163e-06	5.87151271753681e-05	-6.77720435565118
"BH-00670"	"KB"	"Marine"	2	0.00388314591700134	0.00749965194109772	0.000118451807228916	6.18457831325301e-06	5.38398929049532e-05	-6.73860986712565
"BH-00670"	"KB"	"Marine"	2	0.00383473895582329	0.00760155287817938	0.000116369611780455	5.99057563587684e-06	4.99373493975904e-05	-6.72775221072863
