"ID";"capt"
"BH-01758";"SB"
"BH-01719";"SB"
"BH-00670";"KB"
"BH-01812";"SB"
"BH-01867";"SB"
"BH-01814";"KB"
"BH-01789";"KB"
"BH-00732";"SB"
"BH-91054";"Sehrowbach"
"BH-01731";"SB"
"BH-01819";"KB"
"BH-01855";"SB"
"BH-01869";"SB"
"BH-01906";"SB"
"BH-01835";"KB"
"BH-01803";"SB"
"BH-01809";"KB"
"BH-01737";"KB"
"BH-90307";"SB"
"BH-91068";"Ziese"
"BH-01802";"SB"
"BH-01868";"SB"
"BH-01860";"KB"
"BH-01738";"SB"
"BH-91117";"NHG"
"BH-00696";"WB"
"BH-01582";"BEG"
"BH-01560";"BEG"
"BH-01846";"BEG"
"BH-01850";"BEG"
"BH-01717";"BEG"
"BH-01588";"KJB"
"BH-01556";"BEG"
"BH-91328";"NHG"
"BH-01576";"BEG"
"BH-00689";"WB"
"BH-01594";"WB"
"BH-01598";"GJB"
"BH-00685";"WB"
"BH-01595";"WB"
"BH-01596";"GJB"
"BH-00681";"WB"
"BH-01585";"WB"
"BH-01567";"BEG"
"BH-01580";"BEG"
"BH-01571";"BEG"
"BH-01569";"BEG"
"BH-01882";"GB"
"BH-01898";"GB"
"BH-01899";"GB"
"BH-01885";"GB"
"BH-01900";"GB"
"BH-01889";"GB"
"BH-01883";"GB"
"BH-01891";"GB"
"BH-01908";"GB"
"BH-01722";"BEG"
"BH-01904";"GB"
"BH-01903";"GB"
"BH-01902";"GB"
"BH-00742";"GB"
"BH-01897";"GB"
"BH-00750";"GB"
"BH-01892";"GB"
"BH-01893";"GB"
"BH-00355";"Peene"
"BH-00356";"Peene"
"BH-00391";"Barthe"
"BH-00392";"Barthe"
"BH-00398";"Barthe"
"BH-00405";"Barthe"
"BH-00411";"Barthe"
"BH-00418";"Peene"
"BH-00419";"Peene"
"BH-01767";"KD"
"BH-01772";"KD"
"BH-01774";"KD"
"BH-01776";"KD"
"BH-01877";"KD"
"BH-01922";"KB"
"BH-00424";"Peene"
"BH-90910";"NHG"
"BH-90928";"Sehrowbach"
"BH-90946";"Sehrowbach"
"BH-90970";"Sehrowbach"
"BH-90997";"Bandycksgraben"
"BH-91013";"Ziese"
"BH-91045";"Ziese"
"BH-91050";"Ziese"
"BH-91053";"Ziese"
"BH-01713";"SB"
"BH-90981";"Sehrowbach"
