ID;area;Ecotype;Temperature;comment
BH-91328;Freshwater;A;C;
BH-91117;Freshwater;A;I;
BH-91068;Freshwater;A;W;
BH-91054;Freshwater;A;I;
BH-91053;Freshwater;A;W;
BH-91050;Freshwater;A;W;
BH-91045;Freshwater;A;W;
BH-91013;Freshwater;A;W;
BH-90997;Freshwater;I;I;
BH-90981;Freshwater;I;I;
BH-90970;Freshwater;A;I;
BH-90946;Freshwater;A;W;
BH-90928;Freshwater;A;W;
BH-90910;Freshwater;A;I;
BH-90307;Marine;I;I;
BH-01922;Marine;S;C;
BH-01908;Marine;I;W;Vaterite
BH-01906;Marine;S;C;
BH-01904;Marine;A;W;
BH-01903;Marine;I;W;
BH-01902;Marine;I;W;
BH-01900;Marine;A;I;
BH-01899;Marine;I;I;
BH-01898;Marine;I;W;
BH-01897;Marine;I;I;
BH-01893;Marine;I;W;
BH-01892;Marine;I;C;
BH-01891;Marine;S;I;
BH-01889;Marine;I;I;
BH-01885;Marine;I;I;
BH-01883;Marine;I;I;
BH-01882;Marine;I;I;
BH-01877;Freshwater;F;C;
BH-01869;Marine;S;I;
BH-01868;Marine;S;I;
BH-01867;Marine;I;I;
BH-01860;Marine;I;I;
BH-01855;Marine;S;I;
BH-01850;Marine;I;C;
BH-01846;Marine;S;C;
BH-01835;Marine;S;I;
BH-01819;Marine;S;I;
BH-01814;Marine;S;I;
BH-01812;Marine;I;I;
BH-01809;Marine;A;I;
BH-01803;Marine;I;C;
BH-01802;Marine;I;I;
BH-01789;Marine;I;I;
BH-01776;Freshwater;F;C;
BH-01774;Freshwater;F;C;
BH-01772;Freshwater;F;C;
BH-01767;Freshwater;F;C;
BH-01758;Marine;I;I;
BH-01738;Marine;A;W;
BH-01737;Marine;S;C;
BH-01731;Marine;S;C;
BH-01722;Marine;S;C;
BH-01719;Marine;I;I;
BH-01717;Marine;I;C;
BH-01713;Marine;I;C;
BH-01598;Marine;I;C;
BH-01596;Marine;I;I;
BH-01595;Marine;I;I;
BH-01594;Marine;I;W;
BH-01588;Marine;I;C;
BH-01585;Marine;S;W;
BH-01582;Marine;I;I;
BH-01580;Marine;I;W;
BH-01576;Marine;I;C;
BH-01571;Marine;A;W;
BH-01569;Marine;I;I;
BH-01567;Marine;I;W;
BH-01560;Marine;I;C;
BH-01556;Marine;S;C;
BH-00750;Marine;A;W;
BH-00742;Marine;A;W;
BH-00732;Marine;I;I;
BH-00696;Marine;S;I;
BH-00689;Marine;S;I;
BH-00685;Marine;I;I;
BH-00681;Marine;I;W;
BH-00670;Marine;S;C;
BH-00424;Freshwater;F;I;
BH-00419;Freshwater;F;I;
BH-00418;Freshwater;F;I;
BH-00411;Freshwater;A;W;
BH-00405;Freshwater;F;W;
BH-00398;Freshwater;F;W;
BH-00392;Freshwater;A;W;
BH-00391;Freshwater;A;W;
BH-00356;Freshwater;F;W;
BH-00355;Freshwater;F;W;
