"ID"	"age"	"capt"	"area"	"d18O"	"res"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"year"	"dist"
"BH-00355"	2	"Peene"	"Freshwater"	-9.32047262857143	-1.71401720304902	0.00177	0.00809	0.000127	3.72333333333333e-05	0.000107611111111111	1	0
"BH-00355"	2	"Peene"	"Freshwater"	-9.21654298571429	-1.62778836776943	0.00156759856630824	0.0079958064516129	9.64200716845878e-05	3.23010752688172e-05	8.61559139784946e-05	1	35.90264614
"BH-00355"	2	"Peene"	"Freshwater"	-9.10845615714286	-1.54375758948411	0.0014110394265233	0.00725089605734767	8.58114695340502e-05	2.79275985663082e-05	6.64125448028674e-05	1	71.80529228
"BH-00355"	2	"Peene"	"Freshwater"	-8.94909737142857	-1.40522328327294	0.00119064516129032	0.00707974910394265	8.3616129032258e-05	2.30982078853047e-05	7.52505376344086e-05	1	143.836713
"BH-00355"	2	"Peene"	"Freshwater"	-9.03501254285714	-1.481776610328	0.00117677419354839	0.00714681003584229	8.6994623655914e-05	2.26017921146953e-05	7.0915770609319e-05	1	179.7386992
"BH-00355"	2	"Peene"	"Freshwater"	-9.07519867142857	-1.4977939343072	0.00131412186379928	0.00722035842293907	7.36551971326165e-05	3.6036559139785e-05	8.07451612903226e-05	1	215.8703314
"BH-00355"	2	"Peene"	"Freshwater"	-9.06134138571429	-1.44654133229763	0.00162440860215054	0.00765139784946237	7.55032258064516e-05	4.44666666666667e-05	9.26100358422939e-05	1	251.771722
"BH-00355"	2	"Peene"	"Freshwater"	-9.07381294285714	-1.39845249767514	0.00200519713261649	0.00757218637992832	8.25691756272401e-05	4.62716845878136e-05	9.83681003584229e-05	1	287.673426
"BH-00355"	2	"Peene"	"Freshwater"	-9.06411284285714	-1.29678103000021	0.00188724014336918	0.0073315770609319	7.56448028673835e-05	5.73856630824373e-05	5.77025089605735e-05	1	323.575339
"BH-00355"	2	"Peene"	"Freshwater"	-8.93662581428572	-1.08516526221335	0.00168774193548387	0.00717268817204301	7.23487455197132e-05	5.98494623655914e-05	5.28698924731183e-05	1	359.7068251
"BH-00355"	2	"Peene"	"Freshwater"	-8.7370809	-0.814906134174514	0.00106625089605735	0.0077184229390681	8.11193548387097e-05	1.84207885304659e-05	7.49677419354839e-05	1	395.6083922
"BH-00355"	2	"Peene"	"Freshwater"	-8.35461981428572	-0.421732310390453	0.00085563440860215	0.00739598566308244	7.10010752688172e-05	1.26652329749104e-05	6.45057347670251e-05	1	431.5101389
"BH-00355"	2	"Peene"	"Freshwater"	-8.15230344285714	-0.222837951228416	0.000817236559139785	0.00693164874551971	6.38551971326165e-05	1.18022580645161e-05	6.35964157706093e-05	1	467.6419571
"BH-00355"	2	"Peene"	"Freshwater"	-8.10380294285714	-0.173120352115488	0.000819720430107527	0.00702362007168459	6.99455197132616e-05	8.81236559139785e-06	5.69942652329749e-05	1	537.4988372
"BH-00355"	2	"Peene"	"Freshwater"	-8.09826002857143	-0.167248885808598	0.000783139784946236	0.00695150537634409	6.49322580645161e-05	7.22598566308244e-06	3.86921146953405e-05	1	572.6587116
"BH-00355"	2	"Peene"	"Freshwater"	-8.03590224285714	-0.112147837757431	0.000769390681003584	0.00764344086021506	6.81770609318997e-05	8.24623655913979e-06	4.8126164874552e-05	1	607.5870308
"BH-00355"	2	"Peene"	"Freshwater"	-8.01373058571429	-0.0981975340640021	0.000748136200716846	0.00706272401433692	5.91921146953405e-05	6.57136200716846e-06	3.41537634408602e-05	1	642.5153695
"BH-00355"	2	"Peene"	"Freshwater"	-8.18140374285714	-0.273640757684673	0.000923906810035842	0.00695695340501792	5.4078853046595e-05	6.4189605734767e-06	1.6907311827957e-05	1	677.4437246
"BH-00355"	2	"Peene"	"Freshwater"	-8.51813578571429	-0.600199826506829	0.000901103942652329	0.0062721146953405	4.7815770609319e-05	6.8120788530466e-06	1.12766666666667e-05	2	712.6043783
"BH-00355"	2	"Peene"	"Freshwater"	-8.48072111428571	-0.555725602577274	0.000801064516129032	0.00616591397849462	6.31100358422939e-05	6.67745519713262e-06	1.33396415770609e-05	2	747.532608
"BH-00355"	2	"Peene"	"Freshwater"	-8.34769117142857	-0.425668273245057	0.000815354838709677	0.00585856630824373	6.68168458781362e-05	7.23329749103943e-06	2.83845878136202e-05	2	782.4608616
"BH-00355"	2	"Peene"	"Freshwater"	-7.90564375714286	0.0076549789151429	0.000879562724014337	0.00630444444444445	6.44956989247312e-05	8.32541218637993e-06	6.16655913978495e-05	2	817.6221621
"BH-00355"	2	"Peene"	"Freshwater"	-7.40678147142857	0.48361573211888	0.00087863082437276	0.00673931899641577	7.35562724014337e-05	7.71043010752688e-06	4.00046594982079e-05	2	852.5502918
"BH-00355"	2	"Peene"	"Freshwater"	-7.26543715714286	0.606974385843071	0.000851379928315412	0.00585985663082437	6.72559139784946e-05	6.59587813620072e-06	3.93498207885305e-05	2	887.4784504
"BH-00355"	2	"Peene"	"Freshwater"	-7.30839474285714	0.541046482096562	0.000788734767025089	0.0056615770609319	6.31491039426523e-05	6.90903225806452e-06	3.96003584229391e-05	2	922.4066348
"BH-00355"	2	"Peene"	"Freshwater"	-7.17259334285714	0.657126668411684	0.000807301075268817	0.00657329749103943	6.32741935483871e-05	7.73749103942652e-06	4.64232974910394e-05	2	957.5682743
"BH-00356"	7	"Peene"	"Freshwater"	-8.7952815	-1.11296667918063	0.00134666666666667	0.00771555555555556	0.000103411111111111	2.60777777777778e-05	0.000158111111111111	1	36.23534186
"BH-00356"	7	"Peene"	"Freshwater"	-8.64562281428571	-0.927844066720833	0.00140292929292929	0.00727222222222222	0.000102527272727273	2.57515151515151e-05	0.000134919191919192	1	72.47068373
"BH-00356"	7	"Peene"	"Freshwater"	-8.59019367142857	-0.83040646548215	0.00143979797979798	0.00727464646464647	8.26050505050505e-05	2.67272727272727e-05	0.000162030303030303	1	129.5569373
"BH-00356"	7	"Peene"	"Freshwater"	-8.49873558571428	-0.693856564397625	0.00131686868686869	0.00654010101010101	8.56232323232323e-05	2.37050505050505e-05	0.000114730303030303	1	291.3022485
"BH-00356"	7	"Peene"	"Freshwater"	-8.25623308571429	-0.414498978064013	0.00127535353535354	0.00622181818181818	6.68757575757576e-05	2.01828282828283e-05	0.000128232323232323	1	327.5362575
"BH-00356"	7	"Peene"	"Freshwater"	-7.99433038571429	-0.128678975899699	0.00120919191919192	0.00616838383838384	6.76282828282828e-05	1.28366666666667e-05	9.85616161616162e-05	1	364.2471688
