Sample,Quality,Age,Cohort,Core,I,Year,Increment,X,Y
01-BH-01758,3,6,2014,154.0,core,,,312,2138
01-BH-01758,3,6,2014,154.0,1,2015,414.6,1168,2138
01-BH-01758,3,6,2014,154.0,2,2016,441.5,2080,2139
01-BH-01758,3,6,2014,154.0,3,2017,156.9,2404,2139
01-BH-01758,3,6,2014,154.0,4,2018,160.7,2736,2139
01-BH-01758,3,6,2014,154.0,5,2019,120.0,2984,2139
01-BH-01758,3,6,2014,154.0,6,2020,120.5,3233,2139
01-BH-01758,3,6,2014,154.0,edge,,64.2,3366,2139
02-BH-01713,3,7,2013,252.7,core,,,285,2944
02-BH-01713,3,7,2013,252.7,1,2014,801.3,1940,2946
02-BH-01713,3,7,2013,252.7,2,2015,270.6,2499,2947
02-BH-01713,3,7,2013,252.7,3,2016,437.7,3404,2948
02-BH-01713,3,7,2013,252.7,4,2017,162.6,3739,2949
02-BH-01713,3,7,2013,252.7,5,2018,236.6,4228,2950
02-BH-01713,3,7,2013,252.7,6,2019,115.1,4466,2950
02-BH-01713,3,7,2013,252.7,7,2020,58.1,4586,2950
02-BH-01713,3,7,2013,252.7,edge,,0.0,4586,2950
03-BH-01719,3,2,2018,326.3,core,,,195,1651
03-BH-01719,3,2,2018,326.3,1,2019,877.2,2007,1658
03-BH-01719,3,2,2018,326.3,2,2020,441.9,2920,1662
03-BH-01719,3,2,2018,326.3,edge,,-0.0,2920,1662
04-BH-00670,3,4,2016,201.9,core,,,132,2270
04-BH-00670,3,4,2016,201.9,1,2017,638.0,1450,2269
04-BH-00670,3,4,2016,201.9,2,2018,329.7,2131,2268
04-BH-00670,3,4,2016,201.9,3,2019,325.4,2803,2267
04-BH-00670,3,4,2016,201.9,4,2020,239.8,3299,2267
04-BH-00670,3,4,2016,201.9,edge,,0.0,3299,2267
05-BH-01812,3,7,2013,230.4,core,,,304,2778
05-BH-01812,3,7,2013,230.4,1,2014,537.6,1415,2778
05-BH-01812,3,7,2013,230.4,2,2015,458.9,2363,2778
05-BH-01812,3,7,2013,230.4,3,2016,290.5,2963,2779
05-BH-01812,3,7,2013,230.4,4,2017,159.7,3293,2779
05-BH-01812,3,7,2013,230.4,5,2018,203.3,3713,2779
05-BH-01812,3,7,2013,230.4,6,2019,206.3,4139,2779
05-BH-01812,3,7,2013,230.4,7,2020,170.5,4491,2779
05-BH-01812,3,7,2013,230.4,edge,,0.0,4491,2779
06-BH-01867,3,6,2014,357.2,core,,,378,2316
06-BH-01867,3,6,2014,357.2,1,2015,628.0,1675,2310
06-BH-01867,3,6,2014,357.2,2,2016,426.9,2557,2305
06-BH-01867,3,6,2014,357.2,3,2017,198.0,2966,2303
06-BH-01867,3,6,2014,357.2,4,2018,162.6,3302,2302
06-BH-01867,3,6,2014,357.2,5,2019,182.7,3680,2300
06-BH-01867,3,6,2014,357.2,6,2020,165.8,4022,2298
06-BH-01867,3,6,2014,357.2,edge,,0.0,4022,2298
07-BH-01814,3,6,2014,120.7,core,,,407,2510
07-BH-01814,3,6,2014,120.7,1,2015,462.0,1361,2511
07-BH-01814,3,6,2014,120.7,2,2016,290.3,1961,2511
07-BH-01814,3,6,2014,120.7,3,2017,352.5,2689,2511
07-BH-01814,3,6,2014,120.7,4,2018,135.4,2969,2511
07-BH-01814,3,6,2014,120.7,5,2019,267.4,3521,2512
07-BH-01814,3,6,2014,120.7,6,2020,197.5,3929,2512
07-BH-01814,3,6,2014,120.7,edge,,15.8,3962,2512
08-BH-01789,3,3,2017,106.5,core,,,526,1528
08-BH-01789,3,3,2017,106.5,1,2018,304.6,1155,1520
08-BH-01789,3,3,2017,106.5,2,2019,428.7,2041,1509
08-BH-01789,3,3,2017,106.5,3,2020,326.0,2714,1500
08-BH-01789,3,3,2017,106.5,edge,,10.6,2736,1500
09-BH-00732,3,2,2018,295.1,core,,,573,1213
09-BH-00732,3,2,2018,295.1,1,2019,676.4,1970,1210
09-BH-00732,3,2,2018,295.1,2,2020,323.0,2638,1208
09-BH-00732,3,2,2018,295.1,edge,,38.0,2716,1208
1-BH-91054,3,5,2016,193.6,core,,,342,1476
1-BH-91054,3,5,2016,193.6,1,2017,345.5,1056,1477
1-BH-91054,3,5,2016,193.6,2,2018,309.7,1695,1477
1-BH-91054,3,5,2016,193.6,3,2019,226.4,2163,1477
1-BH-91054,3,5,2016,193.6,4,2020,146.2,2465,1478
1-BH-91054,3,5,2016,193.6,5,2021,164.0,2804,1478
1-BH-91054,3,5,2016,193.6,edge,,0.0,2804,1478
10-BH-01731,3,8,2012,153.0,core,,,202,2832
10-BH-01731,3,8,2012,153.0,1,2013,447.4,1126,2830
10-BH-01731,3,8,2012,153.0,2,2014,196.2,1531,2829
10-BH-01731,3,8,2012,153.0,3,2015,316.1,2185,2827
10-BH-01731,3,8,2012,153.0,4,2016,170.4,2537,2826
10-BH-01731,3,8,2012,153.0,5,2017,141.5,2829,2826
10-BH-01731,3,8,2012,153.0,6,2018,197.3,3236,2825
10-BH-01731,3,8,2012,153.0,7,2019,244.4,3741,2824
10-BH-01731,3,8,2012,153.0,8,2020,123.3,3996,2823
10-BH-01731,3,8,2012,153.0,edge,,-0.0,3996,2823
11-BH-01819,3,4,2016,210.4,core,,,144,2103
11-BH-01819,3,4,2016,210.4,1,2017,643.3,1473,2104
11-BH-01819,3,4,2016,210.4,2,2018,435.7,2373,2104
11-BH-01819,3,4,2016,210.4,3,2019,206.2,2799,2105
11-BH-01819,3,4,2016,210.4,4,2020,322.9,3466,2105
11-BH-01819,3,4,2016,210.4,edge,,-0.0,3466,2105
12-BH-01855,3,7,2013,150.1,core,,,730,2307
12-BH-01855,3,7,2013,150.1,1,2014,467.1,1695,2302
12-BH-01855,3,7,2013,150.1,2,2015,364.0,2447,2299
12-BH-01855,3,7,2013,150.1,3,2016,211.4,2883,2297
12-BH-01855,3,7,2013,150.1,4,2017,166.7,3228,2295
12-BH-01855,3,7,2013,150.1,5,2018,154.8,3548,2294
12-BH-01855,3,7,2013,150.1,6,2019,73.3,3699,2293
12-BH-01855,3,7,2013,150.1,7,2020,133.9,3976,2292
12-BH-01855,3,7,2013,150.1,edge,,170.0,4327,2290
13-BH-01869,3,4,2016,314.7,core,,,388,1726
13-BH-01869,3,4,2016,314.7,1,2017,794.0,2028,1722
13-BH-01869,3,4,2016,314.7,2,2018,438.0,2933,1719
13-BH-01869,3,4,2016,314.7,3,2019,205.5,3358,1718
13-BH-01869,3,4,2016,314.7,4,2020,204.1,3779,1717
13-BH-01869,3,4,2016,314.7,edge,,-0.0,3779,1717
14-BH-01906,3,13,2007,115.3,core,,,112,2556
14-BH-01906,3,13,2007,115.3,1,2008,424.4,989,2553
14-BH-01906,3,13,2007,115.3,2,2009,321.1,1652,2552
14-BH-01906,3,13,2007,115.3,3,2010,170.4,2004,2550
14-BH-01906,3,13,2007,115.3,4,2011,157.4,2329,2550
14-BH-01906,3,13,2007,115.3,5,2012,158.1,2656,2549
14-BH-01906,3,13,2007,115.3,6,2013,116.2,2896,2548
14-BH-01906,3,13,2007,115.3,7,2014,117.9,3139,2547
14-BH-01906,3,13,2007,115.3,8,2015,205.0,3563,2546
14-BH-01906,3,13,2007,115.3,9,2016,169.0,3912,2545
14-BH-01906,3,13,2007,115.3,10,2017,150.3,4222,2544
14-BH-01906,3,13,2007,115.3,11,2018,107.8,4445,2543
14-BH-01906,3,13,2007,115.3,12,2019,89.8,4631,2543
14-BH-01906,3,13,2007,115.3,13,2020,142.5,4925,2542
14-BH-01906,3,13,2007,115.3,edge,,-0.0,4925,2542
15-BH-01835,3,7,2013,224.6,core,,,192,1647
15-BH-01835,3,7,2013,224.6,1,2014,490.0,1204,1642
15-BH-01835,3,7,2013,224.6,2,2015,285.0,1793,1639
15-BH-01835,3,7,2013,224.6,3,2016,192.1,2190,1637
15-BH-01835,3,7,2013,224.6,4,2017,206.6,2617,1635
15-BH-01835,3,7,2013,224.6,5,2018,110.1,2844,1634
15-BH-01835,3,7,2013,224.6,6,2019,122.9,3098,1633
15-BH-01835,3,7,2013,224.6,7,2020,86.1,3276,1632
15-BH-01835,3,7,2013,224.6,edge,,0.0,3276,1632
16-BH-01803,3,5,2015,278.4,core,,,398,1925
16-BH-01803,3,5,2015,278.4,1,2016,377.8,1178,1919
16-BH-01803,3,5,2015,278.4,2,2017,460.1,2129,1911
16-BH-01803,3,5,2015,278.4,3,2018,272.1,2691,1907
16-BH-01803,3,5,2015,278.4,4,2019,160.4,3022,1904
16-BH-01803,3,5,2015,278.4,5,2020,119.9,3270,1902
16-BH-01803,3,5,2015,278.4,edge,,-0.0,3270,1902
17-BH-01809,3,3,2017,149.6,core,,,315,1278
17-BH-01809,3,3,2017,149.6,1,2018,494.2,1336,1271
17-BH-01809,3,3,2017,149.6,2,2019,210.2,1770,1267
17-BH-01809,3,3,2017,149.6,3,2020,297.7,2385,1263
17-BH-01809,3,3,2017,149.6,edge,,-0.0,2385,1263
18-BH-01737,3,9,2011,107.5,core,,,116,2391
18-BH-01737,3,9,2011,107.5,1,2012,270.9,676,2391
18-BH-01737,3,9,2011,107.5,2,2013,252.6,1198,2390
18-BH-01737,3,9,2011,107.5,3,2014,226.6,1666,2390
18-BH-01737,3,9,2011,107.5,4,2015,255.7,2194,2390
18-BH-01737,3,9,2011,107.5,5,2016,264.3,2740,2390
18-BH-01737,3,9,2011,107.5,6,2017,180.0,3112,2389
18-BH-01737,3,9,2011,107.5,7,2018,180.1,3484,2389
18-BH-01737,3,9,2011,107.5,8,2019,156.8,3808,2389
18-BH-01737,3,9,2011,107.5,9,2020,122.7,4061,2389
18-BH-01737,3,9,2011,107.5,edge,,0.0,4061,2389
19-BH-90307,3,8,2012,188.8,core,,,846,2032
19-BH-90307,3,8,2012,188.8,1,2013,369.9,1610,2035
19-BH-90307,3,8,2012,188.8,2,2014,273.2,2174,2036
19-BH-90307,3,8,2012,188.8,3,2015,164.3,2514,2038
19-BH-90307,3,8,2012,188.8,4,2016,156.8,2838,2039
19-BH-90307,3,8,2012,188.8,5,2017,192.6,3236,2040
19-BH-90307,3,8,2012,188.8,6,2018,91.5,3425,2041
19-BH-90307,3,8,2012,188.8,7,2019,222.5,3884,2042
19-BH-90307,3,8,2012,188.8,8,2020,125.2,4143,2043
19-BH-90307,3,8,2012,188.8,edge,,-0.0,4143,2043
2-BH-91068,3,6,2014,190.7,core,,,38,1282
2-BH-91068,3,6,2014,190.7,1,2015,331.6,723,1284
2-BH-91068,3,6,2014,190.7,2,2016,237.6,1214,1285
2-BH-91068,3,6,2014,190.7,3,2017,378.1,1995,1286
2-BH-91068,3,6,2014,190.7,4,2018,286.2,2586,1288
2-BH-91068,3,6,2014,190.7,5,2019,197.3,2994,1289
2-BH-91068,3,6,2014,190.7,6,2020,102.3,3205,1289
2-BH-91068,3,6,2014,190.7,edge,,-0.0,3205,1289
20-BH-01802,3,4,2016,204.3,core,,,628,1479
20-BH-01802,3,4,2016,204.3,1,2017,557.9,1781,1467
20-BH-01802,3,4,2016,204.3,2,2018,313.5,2428,1461
20-BH-01802,3,4,2016,204.3,3,2019,132.9,2703,1458
20-BH-01802,3,4,2016,204.3,4,2020,184.3,3083,1454
20-BH-01802,3,4,2016,204.3,edge,,17.7,3120,1454
21-BH-01868,3,9,2011,245.9,core,,,692,2727
21-BH-01868,3,9,2011,245.9,1,2012,521.7,1770,2729
21-BH-01868,3,9,2011,245.9,2,2013,358.0,2509,2730
21-BH-01868,3,9,2011,245.9,3,2014,191.9,2906,2730
21-BH-01868,3,9,2011,245.9,4,2015,164.5,3245,2731
21-BH-01868,3,9,2011,245.9,5,2016,237.0,3735,2731
21-BH-01868,3,9,2011,245.9,6,2017,156.9,4059,2732
21-BH-01868,3,9,2011,245.9,7,2018,125.2,4318,2732
21-BH-01868,3,9,2011,245.9,8,2019,180.1,4690,2733
21-BH-01868,3,9,2011,245.9,9,2020,124.0,4946,2733
21-BH-01868,3,9,2011,245.9,edge,,-0.0,4946,2733
22-BH-01860,3,7,2013,350.5,core,,,644,3013
22-BH-01860,3,7,2013,350.5,1,2014,662.7,2013,3011
22-BH-01860,3,7,2013,350.5,2,2015,278.8,2589,3010
