Sample	Quality	Age	Cohort	Core	I	Year	Increment	X	Y
1	3	9	2011	300.9	core			616	2472
1	3	9	2011	300.9	1	2012	322.3	1194	2802
1	3	9	2011	300.9	2	2013	182.0	1521	2988
1	3	9	2011	300.9	3	2014	184.0	1851	3177
1	3	9	2011	300.9	4	2015	178.7	2172	3360
1	3	9	2011	300.9	5	2016	151.8	2444	3515
1	3	9	2011	300.9	6	2017	115.8	2652	3634
1	3	9	2011	300.9	7	2018	118.2	2864	3755
1	3	9	2011	300.9	8	2019	140.3	3115	3898
1	3	9	2011	300.9	9	2020	140.7	3368	4042
1	3	9	2011	300.9	edge		138.3	3616	4184
10	3	6	2014	670.4	core			489	2608
10	3	6	2014	670.4	1	2015	420.1	1063	1957
10	3	6	2014	670.4	2	2016	251.6	1408	1568
10	3	6	2014	670.4	3	2017	175.5	1648	1296
10	3	6	2014	670.4	4	2018	149.4	1852	1065
10	3	6	2014	670.4	5	2019	170.1	2085	802
10	3	6	2014	670.4	6	2020	191.1	2346	506
10	3	6	2014	670.4	edge		102.2	2486	348
11	3	2	2018	356.0	core			432	1344
11	3	2	2018	356.0	1	2019	310.9	899	903
11	3	2	2018	356.0	2	2020	289.0	1333	493
11	3	2	2018	356.0	edge		158.9	1572	268
12	3	6	2014	474.8	core			183	2247
12	3	6	2014	474.8	1	2015	532.7	1230	2587
12	3	6	2014	474.8	2	2016	202.7	1628	2716
12	3	6	2014	474.8	3	2017	92.4	1810	2775
12	3	6	2014	474.8	4	2018	117.6	2041	2850
12	3	6	2014	474.8	5	2019	116.3	2269	2924
12	3	6	2014	474.8	6	2020	140.2	2545	3014
12	3	6	2014	474.8	edge		72.9	2688	3060
13	3	2	2018	522.4	core			362	1332
13	3	2	2018	522.4	1	2019	477.0	945	537
13	3	2	2018	522.4	2	2020	123.7	1096	331
13	3	2	2018	522.4	edge		126.9	1251	120
14	1	8	2012	592.5	core			791	3166
14	1	8	2012	592.5	1	2013	447.9	1643	2806
14	1	8	2012	592.5	2	2014	281.1	2178	2580
14	1	8	2012	592.5	3	2015	299.4	2748	2339
14	1	8	2012	592.5	4	2016	207.1	3142	2173
14	1	8	2012	592.5	5	2017	139.2	3407	2061
14	1	8	2012	592.5	6	2018	128.5	3651	1958
14	1	8	2012	592.5	7	2019	138.4	3915	1846
14	1	8	2012	592.5	8	2020	109.3	4123	1758
14	1	8	2012	592.5	edge		97.4	4308	1680
15	3	13	2007	353.2	core			32	3160
15	3	13	2007	353.2	1	2008	468.3	967	3407
15	3	13	2007	353.2	2	2009	149.4	1266	3486
15	3	13	2007	353.2	3	2010	124.0	1514	3551
15	3	13	2007	353.2	4	2011	122.0	1757	3615
15	3	13	2007	353.2	5	2012	165.4	2088	3702
15	3	13	2007	353.2	6	2013	124.0	2335	3768
15	3	13	2007	353.2	7	2014	142.7	2620	3843
15	3	13	2007	353.2	8	2015	119.5	2859	3906
15	3	13	2007	353.2	9	2016	108.8	3076	3963
15	3	13	2007	353.2	10	2017	174.8	3425	4055
15	3	13	2007	353.2	11	2018	151.2	3727	4135
