"ID"	"ID2"	"d18O"	"Distance_um"
"17"	"margin"	"-3.8870309"	"974.3433686"
"17"	"BH-01809"	"-5.0025424"	"934.0374725"
"17"	"BH-01809"	"-4.8764411"	"893.7320628"
"17"	"BH-01809"	"-5.2062445"	"853.0140679"
"17"	"BH-01809"	"-5.73975"	"812.2961283"
"17"	"BH-01809"	"-5.4293468"	"771.9909326"
"17"	"BH-01809"	"-5.9531522"	"731.2728629"
"17"	"BH-01809"	"-4.3332355"	"690.5548494"
"17"	"BH-01809"	"-6.3411562"	"649.8369026"
"17"	"BH-01809"	"-5.7979506"	"609.5317875"
"17"	"BH-01809"	"-4.9831422"	"568.8136778"
"17"	"BH-01809"	"-5.7688503"	"528.0956353"
"17"	"BH-01809"	"-4.1295334"	"487.377677"
"17"	"BH-01809"	"-3.7512295"	"447.072701"
"17"	"BH-01809"	"-4.9831422"	"406.354525"
"17"	"BH-01809"	"-4.9346417"	"365.6364314"
"17"	"BH-01809"	"-6.3896567"	"324.9184513"
"17"	"BH-01809"	"-6.4769576"	"284.2006334"
"17"	"BH-01809"	"-6.806761"	"243.8954694"
"17"	"BH-01809"	"-6.9619626"	"203.1772625"
"17"	"BH-01809"	"-8.0289736"	"162.4592257"
"17"	"BH-01809"	"-8.1550749"	"122.1556384"
"17"	"BH-01809"	"-7.6215694"	"81.43709229"
"17"	"BH-01809"	"-8.2811762"	"40.71854614"
"17"	"core"	"-8.1453748"	"0"
"18"	"margin"	"-6.5836587"	"1994.185548"
"18"	"BH-01737"	"-6.2538553"	"1954.226445"
"18"	"BH-01737"	"-6.3120559"	"1914.267484"
"18"	"BH-01737"	"-4.9249416"	"1874.308673"
"18"	"BH-01737"	"-6.4478573"	"1835.208163"
"18"	"BH-01737"	"-7.2723658"	"1795.249843"
"18"	"BH-01737"	"-7.3693668"	"1756.150335"
"18"	"BH-01737"	"-5.0413428"	"1716.704983"
"18"	"BH-01737"	"-6.6030589"	"1678.118291"
"18"	"BH-01737"	"-6.2732555"	"1638.672939"
"18"	"BH-01737"	"-6.7388603"	"1600.086248"
"18"	"BH-01737"	"-5.9919526"	"1560.640894"
"18"	"BH-01737"	"-4.866741"	"1522.054204"
"18"	"BH-01737"	"-6.3314561"	"1482.608849"
"18"	"BH-01737"	"-6.0016527"	"1444.02216"
