"id"	"sex"	"weight"	"TL"	"date"	"area"	"age_ref"	"age_comb"	"age_combC"	"age_otoT"	"age_otoK"	"age_scaleT"	"age_scaleK"	"mrad_comb"	"trad_comb"	"quality"	"month"
"BH-00355"	"m"	800	552	"9.7.2019"	"Peene"	2	3	3	2	3	3	5	0.8113	0.8486	3	7
"BH-00356"	"f"	3000	815	"9.7.2019"	"Peene"	6	7	6	5	5	4	6	1.5448	1.5781	3	7
"BH-00391"	"f"	5220	903	"11.7.2019"	"Barthe"	5	9	9	9	8	7	8	1.7125	1.7811	3	7
"BH-00392"	"f"	5600	930	"11.7.2019"	"Barthe"	7	6	8	7	6	6	10	1.609	1.6444	3	7
"BH-00398"	"f"	2655	761	"11.7.2019"	"Barthe"	5	6	8	6	5	5	8	1.2516	1.3341	3	7
"BH-00405"	"f"	715	466	"11.7.2019"	"Barthe"	1	2	3	2	2	4	6	0.7273	0.8206	3	7
"BH-00411"	"f"	1870	677	"11.7.2019"	"Barthe"	5	3	4	3	3	3	8	1.0181	1.1051	3	7
"BH-00418"	"f"	2450	758	"12.7.2019"	"Peene"	6	7	7	6	5	5	5	1.3846	1.4412	3	7
"BH-00419"	"f"	5780	958	"12.7.2019"	"Peene"	10	10	11	10	9	7	13	1.7818	1.8512	3	7
"BH-00424"	"m"	508	425	"12.7.2019"	"Peene"	3	3	2	2	2	3	4	0.7127	0.8271	3	7
"BH-00670"	"f"	NA	680	"01.12.2019"	"KB"	5	4	4	4	6	6	5	1.284	1.574	3	12
"BH-00670"	"f"	NA	680	"01.12.2019"	"KB"	6	4	4	4	6	6	5	1.284	1.574	3	12
"BH-00681"	"m"	NA	630	"28.02.2020"	"WB"	3	3	2	3	3	4	5	0.6007	0.7276	3	2
"BH-00685"	"m"	NA	720	"29.02.2020"	"WB"	3	3	3	3	4	5	6	0.8626	1.0596	3	2
"BH-00689"	"m"	NA	600	"01.03.2020"	"WB"	2	2	5	2	2	4	4	0.5599	0.8639	3	3
"BH-00696"	"f"	NA	790	"02.03.2020"	"WB"	5	4	5	4	5	4	5	0.918	1.0764	3	3
"BH-00732"	""	NA	617	"14.12.2019"	"SB"	2	2	2	2	2	2	3	0.7381	0.7902	3	12
"BH-00742"	""	NA	550	"8.11.2019"	"GB"	2	2	3	2	2	2	2	0.7805	0.8341	3	11
"BH-00750"	""	NA	560	"8.11.2020"	"GB"	2	2	3	3	3	2	2	0.7625	0.8461	3	11
"BH-01556"	"f"	NA	1110	"8.2.2020"	"BEG"	8	10	9	10	8	8	9	1.5767	1.6341	2	2
"BH-01560"	"f"	NA	820	"8.2.2020"	"BEG"	7	7	7	7	6	7	9	1.2733	1.3809	3	2
"BH-01569"	"m"	NA	550	"28.2.2020"	"BEG"	2	2	4	3	4	4	5	0.5543	0.8374	3	2
"BH-01571"	"f"	NA	520	"28.2.2020"	"BEG"	2	2	2	3	3	2	4	0.5354	0.7132	3	2
"BH-01576"	"f"	NA	570	"28.2.2020"	"BEG"	2	2	3	3	3	3	5	0.5808	0.857	3	2
"BH-01582"	"f"	NA	830	"28.02.2020"	"BEG"	7	7	8	7	8	8	9	1.2029	1.3096	3	2
"BH-01585"	"m"	NA	760	"28.02.2020"	"WB"	8	10	11	10	7	4	6	1.4724	1.5627	3	2
