"ID"	"clust"
"BH-00355"	"1"
"BH-00356"	"1"
"BH-00391"	"1"
"BH-00392"	"1"
"BH-00398"	"1"
"BH-00405"	"1"
"BH-00411"	"1"
"BH-00418"	"1"
"BH-00419"	"1"
"BH-00424"	"1"
"BH-00670"	"2"
"BH-00681"	"2"
"BH-00685"	"2"
"BH-00689"	"2"
"BH-00696"	"2"
"BH-00732"	"2"
"BH-00742"	"1"
"BH-00750"	"1"
"BH-01556"	"2"
"BH-01560"	"2"
"BH-01567"	"2"
"BH-01569"	"2"
"BH-01571"	"2"
"BH-01576"	"2"
"BH-01580"	"2"
"BH-01582"	"2"
"BH-01585"	"2"
"BH-01588"	"2"
"BH-01594"	"2"
"BH-01595"	"2"
"BH-01596"	"2"
"BH-01598"	"2"
"BH-01713"	"2"
"BH-01717"	"2"
"BH-01719"	"2"
"BH-01722"	"2"
"BH-01731"	"2"
"BH-01737"	"2"
"BH-01738"	"2"
"BH-01758"	"2"
"BH-01767"	"3"
"BH-01772"	"3"
"BH-01774"	"3"
"BH-01776"	"3"
"BH-01789"	"2"
"BH-01802"	"2"
"BH-01803"	"2"
"BH-01809"	"2"
"BH-01812"	"2"
"BH-01814"	"2"
"BH-01819"	"2"
"BH-01835"	"2"
"BH-01846"	"2"
"BH-01850"	"2"
"BH-01855"	"2"
"BH-01860"	"2"
"BH-01867"	"2"
"BH-01868"	"2"
"BH-01869"	"2"
"BH-01877"	"3"
"BH-01882"	"2"
"BH-01883"	"2"
"BH-01885"	"2"
"BH-01889"	"2"
"BH-01891"	"2"
"BH-01892"	"2"
"BH-01893"	"2"
"BH-01897"	"2"
"BH-01898"	"2"
"BH-01899"	"2"
"BH-01900"	"2"
"BH-01902"	"2"
"BH-01903"	"2"
"BH-01904"	"2"
"BH-01906"	"2"
"BH-01908"	"2"
"BH-01922"	"2"
"BH-90307"	"2"
"BH-90910"	"2"
"BH-90928"	"2"
"BH-90946"	"2"
"BH-90970"	"2"
"BH-90981"	"2"
"BH-90997"	"2"
"BH-91013"	"1"
"BH-91045"	"1"
"BH-91050"	"1"
"BH-91053"	"1"
"BH-91054"	"2"
"BH-91068"	"1"
"BH-91117"	"2"
"BH-91328"	"2"
