"ID"	"capt"	"area"	"areaorder"	"clust_O"
"BH-00670"	"KB"	"WRB"	1	"High saline|const temp"
"BH-00685"	"WB"	"NRB"	2	"Int saline|Int temp"
"BH-00696"	"WB"	"NRB"	2	"High saline|const temp"
"BH-01556"	"BEG"	"NRB"	2	"Int saline|Int temp"
"BH-01560"	"BEG"	"NRB"	2	"Int saline|Int temp"
"BH-01582"	"BEG"	"NRB"	2	"Int saline|Int temp"
"BH-01585"	"WB"	"NRB"	2	"High saline|const temp"
"BH-01588"	"KJB"	"NRB"	2	"Int saline|Int temp"
"BH-01595"	"WB"	"NRB"	2	"Int saline|Int temp"
"BH-01598"	"GJB"	"NRB"	2	"Int saline|Int temp"
"BH-01713"	"SB"	"WRB"	1	"Int saline|Int temp"
"BH-01717"	"BEG"	"NRB"	2	"Int saline|Int temp"
"BH-01722"	"BEG"	"NRB"	2	"Int saline|Int temp"
"BH-01731"	"SB"	"WRB"	1	"High saline|const temp"
"BH-01737"	"KB"	"WRB"	1	"High saline|const temp"
"BH-01738"	"SB"	"WRB"	1	"High saline|const temp"
"BH-01758"	"SB"	"WRB"	1	"High saline|const temp"
"BH-01789"	"KB"	"WRB"	1	"Int saline|Int temp"
"BH-01802"	"SB"	"WRB"	1	"High saline|const temp"
"BH-01803"	"SB"	"WRB"	1	"Int saline|Int temp"
"BH-01809"	"KB"	"WRB"	1	"Int saline|Int temp"
"BH-01812"	"SB"	"WRB"	1	"High saline|const temp"
"BH-01814"	"KB"	"WRB"	1	"High saline|const temp"
"BH-01819"	"KB"	"WRB"	1	"High saline|const temp"
"BH-01835"	"KB"	"WRB"	1	"Int saline|Int temp"
"BH-01846"	"BEG"	"NRB"	2	"High saline|const temp"
"BH-01850"	"BEG"	"NRB"	2	"Low saline|shift temp"
"BH-01855"	"SB"	"WRB"	1	"High saline|const temp"
"BH-01860"	"KB"	"WRB"	1	"Int saline|Int temp"
"BH-01867"	"SB"	"WRB"	1	"Int saline|Int temp"
"BH-01868"	"SB"	"WRB"	1	"High saline|const temp"
"BH-01869"	"SB"	"WRB"	1	"High saline|const temp"
"BH-01883"	"GB"	"GB"	3	"Int saline|Int temp"
"BH-01889"	"GB"	"GB"	3	"Int saline|Int temp"
"BH-01891"	"GB"	"GB"	3	"High saline|const temp"
"BH-01892"	"GB"	"GB"	3	"Int saline|Int temp"
"BH-01893"	"GB"	"GB"	3	"Int saline|Int temp"
"BH-01900"	"GB"	"GB"	3	"Int saline|Int temp"
"BH-01906"	"SB"	"WRB"	1	"High saline|const temp"
"BH-01922"	"KB"	"WRB"	1	"High saline|const temp"
"BH-90307"	"SB"	"WRB"	1	"Int saline|Int temp"
"BH-90910"	"NHG"	"Freshwater"	4	"Low saline|shift temp"
"BH-90928"	"Sehrowbach"	"Freshwater"	4	"Int saline|Int temp"
"BH-90946"	"Sehrowbach"	"Freshwater"	4	"Int saline|Int temp"
"BH-90970"	"Sehrowbach"	"Freshwater"	4	"Int saline|Int temp"
"BH-90981"	"Sehrowbach"	"Freshwater"	4	"High saline|const temp"
"BH-90997"	"Bandycksgraben"	"Freshwater"	4	"High saline|const temp"
"BH-91054"	"Sehrowbach"	"Freshwater"	4	"High saline|const temp"
"BH-91117"	"NHG"	"Freshwater"	4	"Low saline|shift temp"
"BH-91328"	"NHG"	"Freshwater"	4	"Low saline|shift temp"
