"ID"	"capt"	"area"	"clust_O"
"BH-00356"	"Peene"	"Freshwater"	"Int FW|const temp"
"BH-00391"	"Barthe"	"Freshwater"	"Anadromous|shift temp"
"BH-00392"	"Barthe"	"Freshwater"	"Anadromous|shift temp"
"BH-00398"	"Barthe"	"Freshwater"	"Anadromous|shift temp"
"BH-00411"	"Barthe"	"Freshwater"	"Low FW|cold temp"
"BH-00418"	"Peene"	"Freshwater"	"Int FW|const temp"
"BH-00419"	"Peene"	"Freshwater"	"Int FW|const temp"
"BH-91013"	"Ziese"	"Freshwater"	"Low FW|cold temp"
"BH-91045"	"Ziese"	"Freshwater"	"Low FW|cold temp"
"BH-91050"	"Ziese"	"Freshwater"	"Low FW|cold temp"
"BH-91053"	"Ziese"	"Freshwater"	"Low FW|cold temp"
"BH-91068"	"Ziese"	"Freshwater"	"Low FW|cold temp"
