"ID"	"capt"	"area"	"clust_O"
"BH-00670"	"KB"	"WRB"	"High saline|constant temp"
"BH-00685"	"WB"	"NRB"	"Low saline|shift temp"
"BH-00696"	"WB"	"NRB"	"High saline|constant temp"
"BH-01556"	"BEG"	"NRB"	"Int saline|cold temp"
"BH-01560"	"BEG"	"NRB"	"Int saline|cold temp"
"BH-01582"	"BEG"	"NRB"	"Int saline|cold temp"
"BH-01585"	"WB"	"NRB"	"High saline|constant temp"
"BH-01588"	"KJB"	"NRB"	"Int saline|cold temp"
"BH-01595"	"WB"	"NRB"	"High saline|constant temp"
"BH-01598"	"GJB"	"NRB"	"Int saline|cold temp"
"BH-01713"	"SB"	"WRB"	"Int saline|cold temp"
"BH-01717"	"BEG"	"NRB"	"Int saline|cold temp"
"BH-01722"	"BEG"	"NRB"	"Int saline|cold temp"
"BH-01731"	"SB"	"WRB"	"High saline|constant temp"
"BH-01737"	"KB"	"WRB"	"High saline|constant temp"
"BH-01738"	"SB"	"WRB"	"High saline|constant temp"
"BH-01758"	"SB"	"WRB"	"High saline|constant temp"
"BH-01789"	"KB"	"WRB"	"High saline|constant temp"
"BH-01802"	"SB"	"WRB"	"High saline|constant temp"
"BH-01803"	"SB"	"WRB"	"Int saline|cold temp"
"BH-01809"	"KB"	"WRB"	"Int saline|cold temp"
"BH-01812"	"SB"	"WRB"	"High saline|constant temp"
"BH-01814"	"KB"	"WRB"	"High saline|constant temp"
"BH-01819"	"KB"	"WRB"	"High saline|constant temp"
"BH-01835"	"KB"	"WRB"	"High saline|constant temp"
"BH-01846"	"BEG"	"NRB"	"High saline|constant temp"
"BH-01850"	"BEG"	"NRB"	"Low saline|shift temp"
"BH-01855"	"SB"	"WRB"	"High saline|constant temp"
"BH-01860"	"KB"	"WRB"	"High saline|constant temp"
"BH-01867"	"SB"	"WRB"	"Int saline|cold temp"
"BH-01868"	"SB"	"WRB"	"High saline|constant temp"
"BH-01869"	"SB"	"WRB"	"High saline|constant temp"
"BH-01883"	"GB"	"GB"	"Int saline|cold temp"
"BH-01889"	"GB"	"GB"	"High saline|constant temp"
"BH-01891"	"GB"	"GB"	"High saline|constant temp"
"BH-01892"	"GB"	"GB"	"Int saline|cold temp"
"BH-01893"	"GB"	"GB"	"Low saline|shift temp"
"BH-01900"	"GB"	"GB"	"Low saline|shift temp"
"BH-01906"	"SB"	"WRB"	"High saline|constant temp"
"BH-01922"	"KB"	"WRB"	"High saline|constant temp"
"BH-90307"	"SB"	"WRB"	"Int saline|cold temp"
"BH-90910"	"NHG"	"Freshwater"	"Low saline|shift temp"
"BH-90928"	"Sehrowbach"	"Freshwater"	"Low saline|shift temp"
"BH-90946"	"Sehrowbach"	"Freshwater"	"Low saline|shift temp"
"BH-90970"	"Sehrowbach"	"Freshwater"	"High saline|constant temp"
"BH-90981"	"Sehrowbach"	"Freshwater"	"High saline|constant temp"
"BH-90997"	"Bandycksgraben"	"Freshwater"	"High saline|constant temp"
"BH-91054"	"Sehrowbach"	"Freshwater"	"High saline|constant temp"
"BH-91117"	"NHG"	"Freshwater"	"Low saline|shift temp"
"BH-91328"	"NHG"	"Freshwater"	"Low saline|shift temp"
