Sample	Quality	Age	Cohort	Core	I	Year	Increment	X	Y
1	3	6	2014	239.4	core			40	2265
1	3	6	2014	239.4	1	2015	418.9	715	1723
1	3	6	2014	239.4	2	2016	326.5	1241	1301
1	3	6	2014	239.4	3	2017	171.0	1517	1080
1	3	6	2014	239.4	4	2018	126.5	1721	916
1	3	6	2014	239.4	5	2019	109.8	1898	775
1	3	6	2014	239.4	6	2020	98.9	2057	647
1	3	6	2014	239.4	edge		82.5	2190	540
10	3	2	2018	426.8	core			136	1393
10	3	2	2018	426.8	1	2019	430.4	850	863
10	3	2	2018	426.8	2	2020	285.1	1323	513
10	3	2	2018	426.8	edge		147.6	1568	331
11	3	3	2017	292.8	core			420	1584
11	3	3	2017	292.8	1	2018	305.1	958	1256
11	3	3	2017	292.8	2	2019	476.9	1799	743
11	3	3	2017	292.8	3	2020	236.1	2216	488
11	3	3	2017	292.8	edge		87.0	2369	395
12	3	5	2015	294.4	core			485	1568
12	3	5	2015	294.4	1	2016	476.1	1399	1206
12	3	5	2015	294.4	2	2017	238.3	1857	1026
12	3	5	2015	294.4	3	2018	196.2	2234	877
12	3	5	2015	294.4	4	2019	150.2	2523	763
12	3	5	2015	294.4	5	2020	140.0	2792	656
12	3	5	2015	294.4	edge		54.3	2896	615
13	3	3	2017	452.4	core			325	1123
13	3	3	2017	452.4	1	2018	569.0	1383	611
13	3	3	2017	452.4	2	2019	106.7	1581	515
13	3	3	2017	452.4	3	2020	135.6	1833	393
13	3	3	2017	452.4	edge		37.3	1903	359
14	3	10	2010	731.7	core			898	3015
14	3	10	2010	731.7	1	2011	449.7	1649	2467
14	3	10	2010	731.7	2	2012	221.5	2018	2198
14	3	10	2010	731.7	3	2013	152.6	2273	2012
14	3	10	2010	731.7	4	2014	94.5	2431	1897
14	3	10	2010	731.7	5	2015	107.6	2610	1766
14	3	10	2010	731.7	6	2016	105.3	2786	1637
14	3	10	2010	731.7	7	2017	110.7	2971	1503
14	3	10	2010	731.7	8	2018	116.2	3165	1361
14	3	10	2010	731.7	9	2019	109.9	3348	1227
14	3	10	2010	731.7	10	2020	98.5	3513	1107
14	3	10	2010	731.7	edge		88.3	3660	1000
15	3	8	2012	386.8	core			558	1600
15	3	8	2012	386.8	1	2013	364.6	1257	1319
15	3	8	2012	386.8	2	2014	190.9	1623	1172
15	3	8	2012	386.8	3	2015	205.6	2017	1014
