"ID"	"capt"	"area"	"Sr"	"d18O"	"clust"
"BH-00670"	"KB"	"WRB"	0.00456936958500669	-5.48420350895812	"IntS"
"BH-00681"	"WB"	"NRB"	0.00360698966532798	-6.65410580146644	"LowS"
"BH-00685"	"WB"	"NRB"	0.00313931371709058	-6.35177089569761	"LowS"
"BH-00689"	"WB"	"NRB"	0.00426133258366801	-6.87751765875984	"LowS"
"BH-00696"	"WB"	"NRB"	0.00449986623828648	-5.97606406993735	"IntS"
"BH-00732"	"SB"	"WRB"	0.00365601376171352	-6.5409916906223	"LowS"
"BH-01556"	"BEG"	"NRB"	0.00449984583668005	-4.98612054808812	"IntS"
"BH-01560"	"BEG"	"NRB"	0.00421185511825078	-5.65104534026162	"IntS"
"BH-01567"	"BEG"	"NRB"	0.00388937643908969	-6.01431026755158	"LowS"
"BH-01569"	"BEG"	"NRB"	0.00351979330655957	-6.37340249341939	"LowS"
"BH-01571"	"BEG"	"NRB"	0.00331424583668005	-6.63576100351142	"LowS"
"BH-01576"	"BEG"	"NRB"	0.00340221340473003	-5.33969886536225	"LowS"
"BH-01580"	"BEG"	"NRB"	0.00355197402945114	-6.9015485740833	"LowS"
"BH-01582"	"BEG"	"NRB"	0.00405387962516734	-5.74958874705948	"IntS"
"BH-01585"	"WB"	"NRB"	0.00474925949129853	-6.37993120054137	"IntS"
"BH-01588"	"KJB"	"NRB"	0.00417505767068273	-5.24335635912725	"LowS"
"BH-01594"	"WB"	"NRB"	0.00400462511378849	-7.54340864693341	"IntS"
"BH-01595"	"WB"	"NRB"	0.00380050495314592	-6.33073035666047	"IntS"
"BH-01596"	"GJB"	"NRB"	0.00334171598393574	-6.31213565266766	"LowS"
"BH-01598"	"GJB"	"NRB"	0.0039936971352075	-5.49802156389887	"IntS"
"BH-01713"	"SB"	"WRB"	0.00406113843819723	-5.44984672309857	"IntS"
"BH-01717"	"BEG"	"NRB"	0.00442116535475234	-5.08157353901411	"IntS"
"BH-01719"	"SB"	"WRB"	0.00411612724676484	-6.0163059096205	"IntS"
"BH-01722"	"BEG"	"NRB"	0.00485954934404284	-4.35024672620356	"HighS"
"BH-01731"	"SB"	"WRB"	0.00532008869254797	-5.62230496609876	"HighS"
"BH-01737"	"KB"	"WRB"	0.00529343021865239	-6.12993773756321	"HighS"
"BH-01738"	"SB"	"WRB"	0.00450497788487282	-7.0839899025214	"IntS"
"BH-01758"	"SB"	"WRB"	0.00446367319946452	-6.39144750652829	"IntS"
"BH-01789"	"KB"	"WRB"	0.00351524958500669	-6.74210289743691	"LowS"
"BH-01802"	"SB"	"WRB"	0.0044405778313253	-6.44065682431562	"IntS"
"BH-01803"	"SB"	"WRB"	0.0038581286746988	-5.5505739490822	"IntS"
"BH-01809"	"KB"	"WRB"	0.00393184605087015	-5.79689840349581	"LowS"
"BH-01812"	"SB"	"WRB"	0.00411932021419009	-6.76057034442838	"IntS"
"BH-01814"	"KB"	"WRB"	0.00516378013386881	-6.44373036657694	"HighS"
"BH-01819"	"KB"	"WRB"	0.00473319143239625	-6.75168836225244	"HighS"
"BH-01835"	"KB"	"WRB"	0.00448908512271308	-6.1072790385663	"IntS"
"BH-01846"	"BEG"	"NRB"	0.00544902093708166	-4.9512465793868	"HighS"
"BH-01850"	"BEG"	"NRB"	0.00350842659526997	-5.09017301806732	"LowS"
"BH-01855"	"SB"	"WRB"	0.00494826316822847	-6.29651509691092	"IntS"
"BH-01860"	"KB"	"WRB"	0.00420230411423472	-6.29719785483886	"IntS"
"BH-01867"	"SB"	"WRB"	0.00423132203480589	-5.81273226869964	"IntS"
"BH-01868"	"SB"	"WRB"	0.00487185515394913	-6.79811599781541	"IntS"
"BH-01869"	"SB"	"WRB"	0.00609361729585007	-5.771332635172	"HighS"
"BH-01882"	"GB"	"GB"	0.00354573467202142	-6.36695510463431	"LowS"
"BH-01883"	"GB"	"GB"	0.00409944060687193	-6.04192376056194	"IntS"
"BH-01885"	"GB"	"GB"	0.00369177335118251	-5.96349260677315	"LowS"
"BH-01889"	"GB"	"GB"	0.00378640555109326	-6.31814010546552	"IntS"
"BH-01891"	"GB"	"GB"	0.00456582861222668	-6.64080404635969	"IntS"
"BH-01892"	"GB"	"GB"	0.00399996242748773	-5.78471674002807	"IntS"
"BH-01893"	"GB"	"GB"	0.00360249231593039	-6.73204801382146	"LowS"
"BH-01897"	"GB"	"GB"	0.00346508008924587	-6.4490996251424	"LowS"
"BH-01898"	"GB"	"GB"	0.00338933931280678	-7.15666020235181	"LowS"
"BH-01899"	"GB"	"GB"	0.00328827127175368	-6.30901809358233	"LowS"
"BH-01900"	"GB"	"GB"	0.00336188610441767	-6.52679427625336	"LowS"
