"ID"	"TL_mm"	"weight"	"sex"	"area"	"capt_date"	"age"	"cohort"	"year"	"inc_um"	"rad_um"	"core"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"LA_dist"
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00352	0.00713	7.99e-05	4.9e-06	5.41e-05	0
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00369	0.00707	9.46e-05	6.76e-06	5.52e-05	5.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00369	0.00683	9.61e-05	5.82e-06	5.84e-05	11
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00372	0.00689	8.7e-05	5.35e-06	7.06e-05	16.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00382	0.0071	9.39e-05	5.48e-06	7.71e-05	22
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00389	0.00712	9.8e-05	4.74e-06	7.49e-05	27.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00375	0.00706	9.6e-05	4.59e-06	7.6e-05	33
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00343	0.0069	0.000102	4.49e-06	7.42e-05	38.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00318	0.00635	9.85e-05	4.16e-06	7.91e-05	44
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00313	0.00651	0.000104	4.62e-06	7.84e-05	49.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00313	0.00658	0.000118	4.97e-06	8.26e-05	55
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00309	0.00646	0.000118	4.89e-06	7.44e-05	60.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00308	0.00643	0.000116	5.18e-06	7.03e-05	66
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.0031	0.00682	0.000101	5.45e-06	6.97e-05	71.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.0031	0.00717	0.000104	5.87e-06	7.15e-05	77
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00309	0.00747	9.67e-05	6.39e-06	8.01e-05	82.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00316	0.00753	0.00011	6.44e-06	8.29e-05	88
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00313	0.0069	0.000106	5.51e-06	8.43e-05	93.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00323	0.00681	0.000103	5.25e-06	8.32e-05	99
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00328	0.00683	0.000118	5.33e-06	7.97e-05	104.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00307	0.0065	0.000106	5.15e-06	7.81e-05	110
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00308	0.00642	0.000107	6.18e-06	7.84e-05	115.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00316	0.00636	0.000104	6.12e-06	8.21e-05	121
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00297	0.00618	9.68e-05	6.62e-06	8.19e-05	126.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00309	0.00624	0.000107	5.64e-06	8.48e-05	132
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00305	0.00608	0.000124	5.1e-06	7.97e-05	137.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00294	0.00584	0.000124	5.52e-06	7.6e-05	143
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00312	0.00608	0.000137	5.75e-06	8.13e-05	148.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00295	0.00628	0.000148	5.75e-06	8.13e-05	154
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00303	0.00684	0.000153	6.58e-06	9.56e-05	159.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00332	0.00728	0.000163	6.24e-06	0.000107	165
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00324	0.00751	0.000157	5.57e-06	0.000111	170.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00322	0.00731	0.000144	5.57e-06	9.88e-05	176
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00322	0.00731	0.000128	5.57e-06	8.67e-05	181.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00307	0.00714	0.000126	6.54e-06	8.48e-05	187
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00322	0.00697	0.000125	5.7e-06	8.73e-05	192.5
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	0.00308	0.00678	0.000109	5.39e-06	8.55e-05	198
