"name"	"id"	"waterbody"	"month"	"year"	"identifier"	"Lat"	"Long"	"type"	"SAL"	"WT"
"sampling instance"	"BH"	"Badendycksgraben"	3	2021	"3_2021"	54.373931	13.045735	"Freshwater"	0.5	6.9
"sampling instance"	"BH"	"Barthe"	2	2020	"2_2020"	54.324326	12.6990005714286	"Freshwater"	0.4	5
"sampling instance"	"BH"	"Barthe"	3	2020	"3_2020"	54.29974	12.72818	"Freshwater"	0.4	8.3
"sampling instance"	"BH"	"Barthe"	4	2021	"4_2021"	54.324326	12.6990005714286	"Freshwater"	0.3	5.5
"sampling instance"	"BH"	"Barthe"	7	2019	"7_2019"	54.314107	12.702211	"Freshwater"	0.764154144986667	18.3333333333333
"sampling instance"	"BH"	"Barthe"	7	2019	"7_2019"	54.310911	12.70472	"Freshwater"	0.764154144986667	18.3333333333333
"sampling instance"	"BH"	"Barthe"	7	2019	"7_2019"	54.315554	12.701514	"Freshwater"	0.764154144986667	18.3333333333333
"sampling instance"	"BH"	"Barthe"	10	2019	"10_2019"	54.355252	12.685184	"Freshwater"	0.973613280033333	5.66666666666667
"sampling instance"	"BH"	"Barthe"	10	2019	"10_2019"	54.339859	12.684337	"Freshwater"	0.973613280033333	5.66666666666667
"sampling instance"	"BH"	"Barthe"	10	2019	"10_2019"	54.334859	12.686858	"Freshwater"	0.973613280033333	5.66666666666667
"sampling instance"	"BH"	"BAT"	2	2020	"2_2020"	54.4253	12.94327	"Coast"	12.2833333333333	4.2
"sampling instance"	"BH"	"BAT"	2	2020	"2_2020"	54.34404	12.80796	"Coast"	12.2833333333333	4.2
"sampling instance"	"BH"	"BAT"	3	2020	"3_2020"	54.3807705221239	12.8448496725664	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.3807705221239	12.8448496725664	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.26319	12.56916	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.25604	12.57217	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.26235	12.56776	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.25547	12.57093	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.26165	12.56819	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.2625	12.56634	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.26026	12.59771	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.26073	12.57097	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.26142	12.57102	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.26068	12.58864	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.25612	12.57562	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.25324	12.56893	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.25324	12.56895	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.25806	12.57031	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.25571	12.56663	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.25649	12.58416	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.25651	12.59577	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.25651	12.59597	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.25982	12.56725	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2020	"3_2020"	54.43606	13.00148	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2021	"3_2021"	54.34836	12.81213	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	3	2020	"3_2020"	54.41693	12.95547	"Coast"	9.41145833333333	3.71770833333333
"sampling instance"	"BH"	"BAT"	4	2021	"4_2021"	54.3807705221239	12.8448496725664	"Coast"	9.12424242424242	11.0090909090909
"sampling instance"	"BH"	"BAT"	4	2021	"4_2021"	54.41444	12.88698	"Coast"	9.12424242424242	11.0090909090909
"sampling instance"	"BH"	"BAT"	4	2022	"4_2022"	54.473	13.16482	"Coast"	9.12424242424242	11.0090909090909
"sampling instance"	"BH"	"BAT"	4	2022	"4_2022"	54.43727	12.95336	"Coast"	9.12424242424242	11.0090909090909
"sampling instance"	"BH"	"BAT"	4	2022	"4_2022"	54.43288	12.94695	"Coast"	9.12424242424242	11.0090909090909
"sampling instance"	"BH"	"BAT"	4	2022	"4_2022"	54.3807705221239	12.8448496725664	"Coast"	9.12424242424242	11.0090909090909
"sampling instance"	"BH"	"BAT"	4	2022	"4_2022"	54.4368	12.95083	"Coast"	9.12424242424242	11.0090909090909
"sampling instance"	"BH"	"BAT"	4	2022	"4_2022"	54.43771	12.95238	"Coast"	9.12424242424242	11.0090909090909
"sampling instance"	"BH"	"BAT"	4	2022	"4_2022"	54.41766	12.95408	"Coast"	9.12424242424242	11.0090909090909
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.43032	12.94386	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.43283	12.9455	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.43612	12.94371	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.43678	12.94889	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.43482	12.95086	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.43042	12.95073	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.4214	12.94349	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.42291	12.94785	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.42153	12.94763	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.42455	12.95073	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.42638	12.95253	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.42608	12.95829	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.43103	12.94663	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.4329	12.94458	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.43668	12.94538	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.43533	12.94841	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.43116	12.95194	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.4311	12.95358	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.42681	12.95564	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.42656	12.95331	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.42653	12.95142	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.42252	12.94941	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.42122	12.94366	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	5	2022	"5_2022"	54.42054	12.94105	"Coast"	8.55	16.5
"sampling instance"	"BH"	"BAT"	8	2021	"8_2021"	54.414193	12.889291	"Coast"	13.4	16.175
"sampling instance"	"BH"	"BAT"	8	2021	"8_2021"	54.408345	12.911499	"Coast"	13.4	16.175
"sampling instance"	"BH"	"BAT"	8	2021	"8_2021"	54.415182	12.888877	"Coast"	13.4	16.175
"sampling instance"	"BH"	"BAT"	8	2021	"8_2021"	54.399286	12.895796	"Coast"	13.4	16.175
"sampling instance"	"BH"	"BAT"	10	2021	"10_2021"	54.42319	12.94541	"Coast"	8.4875	9.825
"sampling instance"	"BH"	"BAT"	10	2021	"10_2021"	54.43593	12.94741	"Coast"	8.4875	9.825
"sampling instance"	"BH"	"BAT"	10	2021	"10_2021"	54.42802	12.95557	"Coast"	8.4875	9.825
"sampling instance"	"BH"	"BAT"	10	2021	"10_2021"	54.43227	12.97562	"Coast"	8.4875	9.825
"sampling instance"	"BH"	"BAT"	10	2021	"10_2021"	54.41322	12.90417	"Coast"	8.4875	9.825
"sampling instance"	"BH"	"BAT"	10	2021	"10_2021"	54.40578	12.8986	"Coast"	8.4875	9.825
"sampling instance"	"BH"	"BAT"	10	2021	"10_2021"	54.416	12.9069	"Coast"	8.4875	9.825
"sampling instance"	"BH"	"BAT"	10	2021	"10_2021"	54.40528	12.89265	"Coast"	8.4875	9.825
"sampling instance"	"BH"	"BAT"	11	2020	"11_2020"	54.23685	12.53618	"Coast"	9.26031746031746	7.86349206349206
"sampling instance"	"BH"	"BAT"	11	2020	"11_2020"	54.24475	12.47863	"Coast"	9.26031746031746	7.86349206349206
"sampling instance"	"BH"	"BAT"	11	2020	"11_2020"	54.24003	12.47774	"Coast"	9.26031746031746	7.86349206349206
"sampling instance"	"BH"	"BAT"	11	2020	"11_2020"	54.3807705221239	12.8448496725664	"Coast"	9.26031746031746	7.86349206349206
"sampling instance"	"BH"	"BAT"	11	2021	"11_2021"	54.41174	12.88622	"Coast"	9.26031746031746	7.86349206349206
"sampling instance"	"BH"	"BAT"	11	2021	"11_2021"	54.39981	12.8919	"Coast"	9.26031746031746	7.86349206349206
"sampling instance"	"BH"	"BAT"	11	2021	"11_2021"	54.43463	12.94634	"Coast"	9.26031746031746	7.86349206349206
"sampling instance"	"BH"	"BAT"	11	2021	"11_2021"	54.41738	12.955	"Coast"	9.26031746031746	7.86349206349206
"sampling instance"	"BH"	"BAT"	11	2021	"11_2021"	54.421348	12.918984	"Coast"	9.26031746031746	7.86349206349206
"sampling instance"	"BH"	"BAT"	11	2021	"11_2021"	54.39672	12.88686	"Coast"	9.26031746031746	7.86349206349206
"sampling instance"	"BH"	"BAT"	11	2021	"11_2021"	54.40773	12.900959	"Coast"	9.26031746031746	7.86349206349206
"sampling instance"	"BH"	"BAT"	11	2021	"11_2021"	54.40755	12.8909	"Coast"	9.26031746031746	7.86349206349206
"sampling instance"	"BH"	"BAT"	11	2021	"11_2021"	54.412543	12.903077	"Coast"	9.26031746031746	7.86349206349206
"sampling instance"	"BH"	"BAT"	11	2021	"11_2021"	54.40746	12.90344	"Coast"	9.26031746031746	7.86349206349206
"sampling instance"	"BH"	"BAT"	11	2021	"11_2021"	54.42067	12.935066	"Coast"	9.26031746031746	7.86349206349206
"sampling instance"	"BH"	"BAT"	11	2021	"11_2021"	54.40811	12.89189	"Coast"	9.26031746031746	7.86349206349206
"sampling instance"	"BH"	"BAT"	12	2020	"12_2020"	54.3807705221239	12.8448496725664	"Coast"	9.04204545454545	1.17840909090909
"sampling instance"	"BH"	"Beek"	3	2020	"3_2020"	54.29683	13.40562	"Freshwater"	0.533333333333333	5.13333333333333
"sampling instance"	"BH"	"Beek"	3	2021	"3_2021"	54.299147	13.398644	"Freshwater"	0.533333333333333	5.13333333333333
"sampling instance"	"BH"	"Beek"	3	2020	"3_2020"	54.295692	13.410973	"Freshwater"	0.533333333333333	5.13333333333333
"sampling instance"	"BH"	"Beek"	4	2021	"4_2021"	54.299147	13.398644	"Freshwater"	0.47624270544	5.65
"sampling instance"	"BH"	"Beek"	4	2021	"4_2021"	54.297704	13.40347025	"Freshwater"	0.47624270544	5.65
"sampling instance"	"BH"	"BEG"	2	2020	"2_2020"	54.595698	13.332292	"Coast"	8.625	4.875
"sampling instance"	"BH"	"BEG"	2	2020	"2_2020"	54.59571	13.33231	"Coast"	8.625	4.875
"sampling instance"	"BH"	"BEG"	2	2020	"2_2020"	54.61217	13.37343	"Coast"	8.625	4.875
"sampling instance"	"BH"	"BEG"	2	2020	"2_2020"	54.56701	13.32403	"Coast"	8.625	4.875
"sampling instance"	"BH"	"BEG"	3	2020	"3_2020"	54.61224	13.37287	"Coast"	8.41428571428571	5.97692307692308
"sampling instance"	"BH"	"BEG"	3	2020	"3_2020"	54.54338	13.37395	"Coast"	8.41428571428571	5.97692307692308
"sampling instance"	"BH"	"BEG"	3	2021	"3_2021"	54.59589	13.33152	"Coast"	8.41428571428571	5.97692307692308
"sampling instance"	"BH"	"BEZ"	3	2021	"3_2021"	54.5259	13.30311	"Coast"	7.5	6.5
"sampling instance"	"BH"	"BEZ"	5	2021	"5_2021"	54.557188	13.220634	"Coast"	9.22727272727273	16.5484848484848
"sampling instance"	"BH"	"BEZ"	5	2021	"5_2021"	54.557	13.16617	"Coast"	9.22727272727273	16.5484848484848
"sampling instance"	"BH"	"BEZ"	5	2021	"5_2021"	54.55034	13.19241	"Coast"	9.22727272727273	16.5484848484848
"sampling instance"	"BH"	"BEZ"	5	2021	"5_2021"	54.56917	13.18942	"Coast"	9.22727272727273	16.5484848484848
"sampling instance"	"BH"	"BEZ"	5	2021	"5_2021"	54.58353	13.25206	"Coast"	9.22727272727273	16.5484848484848
"sampling instance"	"BH"	"Duwenbeek"	3	2021	"3_2021"	54.4783214	13.277323	"Freshwater"	0.463064700345714	5.94285714285714
"sampling instance"	"BH"	"Duwenbeek"	3	2021	"3_2021"	54.478228	13.280008	"Freshwater"	0.463064700345714	5.94285714285714
"sampling instance"	"BH"	"Duwenbeek"	3	2020	"3_2020"	54.478321	13.279487	"Freshwater"	0.463064700345714	5.94285714285714
"sampling instance"	"BH"	"Duwenbeek"	3	2020	"3_2020"	54.47893	13.267722	"Freshwater"	0.463064700345714	5.94285714285714
"sampling instance"	"BH"	"Duwenbeek"	3	2021	"3_2021"	54.4779	13.27939	"Freshwater"	0.463064700345714	5.94285714285714
"sampling instance"	"BH"	"Duwenbeek"	4	2021	"4_2021"	54.4783214	13.277323	"Freshwater"	0.52835815492	6.7
"sampling instance"	"BH"	"GB"	2	2022	"2_2022"	54.36188	13.6555267	"Coast"	7.00588235294118	3.98823529411765
"sampling instance"	"BH"	"GB"	2	2022	"2_2022"	54.361754	13.68808	"Coast"	7.00588235294118	3.98823529411765
"sampling instance"	"BH"	"GB"	2	2022	"2_2022"	54.36242	13.65557	"Coast"	7.00588235294118	3.98823529411765
"sampling instance"	"BH"	"GB"	2	2020	"2_2020"	54.27662	13.39109	"Coast"	7.00588235294118	3.98823529411765
"sampling instance"	"BH"	"GB"	2	2020	"2_2020"	54.29655	13.6997	"Coast"	7.00588235294118	3.98823529411765
"sampling instance"	"BH"	"GB"	2	2020	"2_2020"	54.3318	13.62376	"Coast"	7.00588235294118	3.98823529411765
"sampling instance"	"BH"	"GB"	2	2020	"2_2020"	54.34936	13.68285	"Coast"	7.00588235294118	3.98823529411765
"sampling instance"	"BH"	"GB"	2	2020	"2_2020"	54.34074	13.5535	"Coast"	7.00588235294118	3.98823529411765
"sampling instance"	"BH"	"GB"	3	2020	"3_2020"	54.17592	13.42143	"Coast"	6.571875	5.29375
"sampling instance"	"BH"	"GB"	3	2020	"3_2020"	54.289983	13.704633	"Coast"	6.571875	5.29375
"sampling instance"	"BH"	"GB"	3	2020	"3_2020"	54.3344547005988	13.5730506639053	"Coast"	6.571875	5.29375
"sampling instance"	"BH"	"GB"	3	2020	"3_2020"	54.2542	13.29758	"Coast"	6.571875	5.29375
"sampling instance"	"BH"	"GB"	3	2020	"3_2020"	54.161667	13.687399	"Coast"	6.571875	5.29375
"sampling instance"	"BH"	"GB"	3	2021	"3_2021"	54.3344547005988	13.5730506639053	"Coast"	6.571875	5.29375
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.362551	13.654692	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.3344547005988	13.5730506639053	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.362494	13.689	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.3632	13.64739	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.36948	13.68846	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.358792	13.650611	"Coast"	7.83428571428571	7.22857142857143
