name,id,waterbody,month,year,identifier,Lat,Long,type,turbidity,SAL,WT
KHJ,0313040702,Stettiner Haff,1,1990,1_1990,53.80667,14.235001,Coast,,2.6,0.3
KHJ,0313040702,Stettiner Haff,3,1990,3_1990,53.80667,14.235001,Coast,,3.1,6.8
KHJ,0313040702,Stettiner Haff,4,1990,4_1990,53.80667,14.235001,Coast,,2.9,10.5
KHJ,0313040702,Stettiner Haff,5,1990,5_1990,53.80667,14.235001,Coast,,5.1,16.2
KHJ,0313040702,Stettiner Haff,6,1990,6_1990,53.80667,14.235001,Coast,,2.5,16.5
KHJ,0313040702,Stettiner Haff,7,1990,7_1990,53.80667,14.235001,Coast,,2.8,17.2
KHJ,0313040702,Stettiner Haff,8,1990,8_1990,53.80667,14.235001,Coast,,2.6,20.5
KHJ,0313040702,Stettiner Haff,9,1990,9_1990,53.80667,14.235001,Coast,,2.7,16
KHJ,0313040702,Stettiner Haff,10,1990,10_1990,53.80667,14.235001,Coast,,4.1,11.3
KHJ,0313040702,Stettiner Haff,11,1990,11_1990,53.80667,14.235001,Coast,,3.3,6.4
KHJ,0313040702,Stettiner Haff,12,1990,12_1990,53.80667,14.235001,Coast,,4.5,3
KHJ,0313040702,Stettiner Haff,1,1991,1_1991,53.80667,14.235001,Coast,,3.5,1.8
KHJ,0313040702,Stettiner Haff,4,1991,4_1991,53.80667,14.235001,Coast,,2.2,9
KHJ,0313040702,Stettiner Haff,5,1991,5_1991,53.80667,14.235001,Coast,,2,8.2
KHJ,0313040702,Stettiner Haff,6,1991,6_1991,53.80667,14.235001,Coast,,1.5,14
KHJ,0313040702,Stettiner Haff,7,1991,7_1991,53.80667,14.235001,Coast,,1.4,20.6
KHJ,0313040702,Stettiner Haff,8,1991,8_1991,53.80667,14.235001,Coast,,1.4,22.4
KHJ,0313040702,Stettiner Haff,9,1991,9_1991,53.80667,14.235001,Coast,,2.2,15.6
KHJ,0313040702,Stettiner Haff,10,1991,10_1991,53.80667,14.235001,Coast,,2.2,13.8
KHJ,0313040702,Stettiner Haff,12,1991,12_1991,53.80667,14.235001,Coast,,3.1,3.7
KHJ,0313040702,Stettiner Haff,1,1992,1_1992,53.80667,14.235001,Coast,,3.9,2.9
KHJ,0313040702,Stettiner Haff,3,1992,3_1992,53.80667,14.235001,Coast,,3,3.7
KHJ,0313040702,Stettiner Haff,4,1992,4_1992,53.80667,14.235001,Coast,,1.4,7.5
KHJ,0313040702,Stettiner Haff,5,1992,5_1992,53.80667,14.235001,Coast,,0.8,13
KHJ,0313040702,Stettiner Haff,6,1992,6_1992,53.80667,14.235001,Coast,,1.2,20.5
KHJ,0313040702,Stettiner Haff,7,1992,7_1992,53.80667,14.235001,Coast,,1.2,18.5
KHJ,0313040702,Stettiner Haff,8,1992,8_1992,53.80667,14.235001,Coast,,1.8,21.5
KHJ,0313040702,Stettiner Haff,10,1992,10_1992,53.80667,14.235001,Coast,,3.2,6.2
KHJ,0313040702,Stettiner Haff,11,1992,11_1992,53.80667,14.235001,Coast,,3.3,3.5
KHJ,0313040702,Stettiner Haff,2,1993,2_1993,53.80667,14.235001,Coast,,4.2,0
KHJ,0313040702,Stettiner Haff,3,1993,3_1993,53.80667,14.235001,Coast,,2.8,1.3
KHJ,0313040702,Stettiner Haff,4,1993,4_1993,53.80667,14.235001,Coast,,2.6,6.3
KHJ,0313040702,Stettiner Haff,5,1993,5_1993,53.80667,14.235001,Coast,,2.2,15.2
KHJ,0313040702,Stettiner Haff,6,1993,6_1993,53.80667,14.235001,Coast,,0.8,15.1
KHJ,0313040702,Stettiner Haff,7,1993,7_1993,53.80667,14.235001,Coast,,2.2,16.3
KHJ,0313040702,Stettiner Haff,8,1993,8_1993,53.80667,14.235001,Coast,,2,20.3
KHJ,0313040702,Stettiner Haff,9,1993,9_1993,53.80667,14.235001,Coast,,1.6,15.7
KHJ,0313040702,Stettiner Haff,10,1993,10_1993,53.80667,14.235001,Coast,,1.8,12
KHJ,0313040702,Stettiner Haff,11,1993,11_1993,53.80667,14.235001,Coast,,2,5.9
KHJ,0313040702,Stettiner Haff,1,1994,1_1994,53.80667,14.235001,Coast,,1.7,1.6
KHJ,0313040702,Stettiner Haff,4,1994,4_1994,53.80667,14.235001,Coast,,1.2,7.4
