"Date.and.Time","Latitude","Longitude","Transmitter","Floy","Sex","Origin","Destination","Salinity","T"
"2021-03-09 17:30","54.38321",13.25824,12681,10897,"F","WB","SB",5.1,5.1
"2021-03-10 15:56","54.38247",13.25252,12680,10133,"F","WB","SB",6.8,4.2
"2021-03-09 17:05","54.38237",13.23707,12691,10092,"F","WB","SB",6.3,3.7
"2021-03-10 15:42","54.38401",13.21956,12676,10127,"F","WB","SB",7.1,2.7
"2021-03-09 16:53","54.38577",13.20277,12693,11030,"F","WB","SB",6.3,4.3
"2021-03-09 16:42","54.39056",13.16976,12682,10876,"F","WB","SB",7.1,2.7
"2021-03-10 15:22","54.39455",13.15396,12022,12864,"F","WB","SB",8.3,3.2
"2021-03-09 16:31","54.39648",13.13919,12684,10911,"F","WB","SB",7.3,3.2
"2021-03-10 15:10","54.40155",13.12252,12677,10155,"F","WB","SB",8.2,4
"2021-03-09 16:16","54.40501",13.10654,12686,10981,"F","WB","SB",7.8,3.3
"2021-03-09 15:59","54.41368",13.07248,12692,10960,"F","WB","SB",8.7,4
"2021-03-09 15:42","54.43036",13.04451,12683,10939,"F","WB","SB",8.5,3.7
"2021-03-09 15:30","54.44161",13.01501,12687,10995,"F","WB","SB",9.9,3
"2021-03-10 14:29","54.43771",12.99902,12674,10106,"F","WB","SB",8.8,3.2
"2021-03-09 15:19","54.42979",12.98558,12690,11023,"F","WB","SB",10,2.9
"2021-03-10 14:04","54.42837",12.68383,12675,10141,"F","WB","SB",9.1,3.1
"2021-03-09 15:07","54.42846",12.95177,12689,10953,"F","WB","SB",10,3.1
"2021-03-09 17:30","54.38321",13.25824,NA,44316,"M","WB","SB",5.1,5.1
"2021-03-09 17:05","54.38237",13.23707,NA,44204,"M","WB","SB",6.3,3.7
"2021-03-09 16:42","54.38056",13.16976,NA,44218,"M","WB","SB",7.1,2.7
"2021-03-09 16:31","54.33648",13.13919,NA,44288,"M","WB","SB",7.3,3.2
"2021-03-09 16:16","54.40501",13.10654,NA,44302,"M","WB","SB",7.8,3.3
"2021-03-09 15:59","54.41368",13.07248,NA,44246,"M","WB","SB",8.7,4
"2021-03-09 15:42","54.43036",13.04451,NA,44253,"M","WB","SB",8.5,3.7
"2021-03-10 14:39","54.44101",13.01506,NA,44092,"M","WB","SB",9,3.7
"2021-03-10 14:18","54.4297",12.98509,NA,44106,"M","WB","SB",9.2,3.2
"2021-03-09 15:07","54.42846",12.95177,NA,44232,"M","WB","SB",10,3.1
"2021-03-17 15:26","54.38858",13.18719,12685,10393,"F","WB","SB",7.5,5.2
"2021-03-17 14:39","54.42284",13.05964,12679,10365,"F","WB","SB",9.8,5.8
"2021-03-17 15:03","54.40808",13.08984,12678,10379,"F","WB","SB",9.4,4.9
"2021-03-17 14:12","54.43862",13.03129,12688,10400,"F","WB","SB",10.4,4.7
"2021-03-17 13:57","54.44081",13.01477,12082,10351,"F","SB","WB",10.9,4.9
"2021-03-17 11:13","54.42814",12.95183,NA,45044,"M","SB","WB",11.6,3.8
"2021-03-26 13:11","54.38287",13.25973,NA,68753,"M","SB","D",6.7,10.2
"2021-03-26 13:25","54.38275",13.24086,NA,68501,"M","SB","D",7.3,7.7
"2021-03-26 16:20","54.39951",13.22266,NA,68830,"M","SB","D",7.3,8.9
"2021-03-26 13:40","54.41155",13.19811,NA,68704,"M","SB","D",8.2,7.5
"2021-03-26 13:51","54.41513",13.16904,NA,30197,"M","SB","D",7.7,8.5
"2021-03-26 14:03","54.4228",13.14297,NA,68739,"M","SB","D",8.9,8.7
"2021-03-26 14:13","54.44389",13.15412,NA,68795,"M","SB","D",8,8.4
"2021-03-26 14:26","54.45563",13.17868,NA,68844,"M","SB","D",7.4,9
"2021-03-26 14:41","54.46001",13.20416,NA,68718,"M","SB","D",6.7,9.2
"2021-03-26 14:58","54.46967",13.2305,NA,68781,"M","SB","D",6.5,9.2
"2021-03-26 15:10","54.47722",13.25796,12116,10183,"M","SB","D",6.1,9.5
"2021-03-26 13:53","54.41513",13.16904,12662,20512,"F","SB","D",7.7,8.5
"2021-03-26 14:43","54.46001",13.20416,12630,20519,"F","SB","D",6.7,9.2
"2021-03-25 12:55","54.38296",13.26112,12669,10512,"F","SB","WB",0.5,8.2
"2021-03-25 13:45","54.38614",13.2029,12649,10505,"F","SB","WB",7.8,7.6
"2021-03-25 13:57","54.3909",13.17058,12679,10463,"F","SB","WB",8.3,6.5
"2021-03-25 14:22","54.40428",13.10146,12665,10498,"F","SB","WB",9.4,6.7
"2021-03-25 15:04","54.42708",12.95106,12661,10519,"F","SB","WB",8.5,7.5
"2021-03-25 12:55","54.38296",13.26112,NA,44036,"M","SB","WB",0.5,8.2
"2021-03-25 13:34","54.38283",13.23629,NA,44015,"M","SB","WB",6.9,7.4
"2021-03-25 14:10","54.39698",13.13756,NA,44064,"M","SB","WB",8.7,7
"2021-03-25 14:51","54.42958",12.98491,12074,10225,"M","SB","WB",8,7.8
"2021-03-31 10:30","54.382516",13.2566983,NA,47501,"M","SB","WB",6.6,11.7
"2021-03-31 10:45","54.384059",13.218955,NA,47614,"M","SB","WB",8,10.1
"2021-03-31 10:59","54.387099",13.201861,NA,47522,"M","SB","WB",8.5,9.9
"2021-03-31 11:19","54.390704",13.182614,NA,47592,"M","SB","WB",8.3,9.9
"2021-03-31 11:25","54.39034",13.16154,NA,30155,"M","SB","WB",8.3,9.6
"2021-03-31 11:48","54.400898",13.11854,NA,47627,"M","SB","WB",8.9,9.6
"2021-03-31 11:54","54.404706",13.105373,NA,47585,"M","SB","WB",8.9,9.6
"2021-03-31 12:12","54.413874",13.07214,NA,44057,"M","SB","WB",9.2,10.1
"2021-03-31 12:36","54.432416",13.044963,NA,68816,"M","SB","WB",9.2,8.6
"2021-03-31 12:54","54.441133",13.013269,NA,47634,"M","SB","WB",9.4,9.7
"2021-03-31 10:40","54.382904",13.235821,12666,10918,"F","SB","WB",7.4,11.2
"2021-03-31 11:40","54.397420",13.137403,12015,10044,"F","SB","WB",8.5,10.2
"2021-03-31 12:12","54.413874",13.072714,12653,10890,"F","SB","WB",9.2,10.1
"2021-03-31 13:13","54.429851",12.985469,12656,10603,"F","SB","WB",9.5,8.8
"2021-04-10 10:10","54.382568",13.252114,12654,20267,"M","SB","WB",7.6,6.1
"2021-04-10 10:44","54.383736",13.219666,12647,20526,"M","SB","WB",8.6,5.9
"2021-04-10 14:29","54.38799",13.18697,12640,20582,"M","SB","WB",8.8,6.4
"2021-04-10 14:29","54.38799",13.18697,12646,11856,"F","SB","WB",8.8,6.4
"2021-04-10 14:43","54.394249",13.154153,12664,20281,"M","SB","WB",9.5,6.3
"2021-04-10 14:52","54.40117",13.12166,12651,20673,"F","SB","WB",9.5,6.9
"2021-04-10 15:03","54.49767",13.08962,12648,20533,"M","SB","WB",9.8,6.1
"2021-04-10 15:20","54.42305",13.06048,12672,20666,"M","SB","WB",10.6,7.9
"2021-04-10 15:29","54.43226",13.04498,12634,20344,"F","SB","WB",9.7,7.2
"2021-04-10 15:29","54.43226",13.04498,12644,20409,"M","SB","WB",9.7,7.2
"2021-04-10 15:40","54.43905",13.03096,12667,20330,"M","SB","WB",10.2,6.9
"2021-04-10 15:53","54.43760",12.99925,12637,20652,"M","SB","WB",10.6,6.3
"2021-04-10 16:05","54.42815",12.96859,12658,20659,"M","SB","WB",10.7,6.4
"2021-04-10 09:49","54.382676",13.262023,12643,20589,"F","SB","D",3.8,5.6
"2021-04-10 09:59","54.382289",13.254701,12636,20603,"M","SB","D",7.3,8.5
"2021-04-10 10:21","54.382285",13.239938,12650,11863,"F","SB","D",8.4,6.1
"2021-04-10 10:32","54.388363",13.228103,12633,11849,"M","SB","D",8.7,5.9
"2021-04-10 10:54","54.401874",13.223749,12652,20547,"F","SB","D",8.7,5.8
"2021-04-10 11:07","54.409235",13.212256,12660,20680,"M","SB","D",8.7,6.3
"2021-04-10 11:13","54.411234",13.197866,12632,20575,"F","SB","D",9.2,5.6
"2021-04-10 11:22","54.413165",13.183149,12657,20694,"M","SB","D",9.4,5.6
"2021-04-10 11:32","54.418614",13.156091,12673,20323,"M","SB","D",9.2,6
"2021-04-10 11:39","54.422993",13.142642,12641,20645,"F","SB","D",9.6,6
"2021-04-10 11:46","54.435145",13.142666,12671,10204,"M","SB","D",9.6,6.1
"2021-04-10 11:53","54.443524",13.154576,12635,20295,"F","SB","D",9,5.9
"2021-04-10 12:02","54.45155",13.166179,12668,20638,"M","SB","D",8.6,5.9
"2021-04-10 12:12","54.455505",13.1791,12638,20316,"F","SB","D",8.7,6
"2021-04-10 12:24","54.456652",13.193001,12639,20260,"M","SB","D",8.7,6.3
"2021-04-10 12:43","54.463107",13.219486,12659,20274,"M","SB","D",8.6,6.9
"2021-04-10 12:49","54.470194",13.23127,12122,10218,"F","SB","D",8.5,6.7
"2021-04-10 12:56","54.47890",13.244002,12645,11870,"M","SB","D",8.7,6.4
"2021-04-10 13:01","54.477103",13.258427,12631,20561,"F","SB","D",7.9,6.4
"2021-04-10 13:20","54.478542",13.271615,12663,20302,"M","SB","D",0.4,8.2
