Station	waterbody	coast/FW	ID	Lat	Long	Date	Cond_mS	Sal_PSU	WT_C	pH	Secchi_cm	O2_mg/l	O2_perc	flow	waterlevel_cm	LT_C	d18O	SD_d18O	d2H	SD_d2H	type	comment
Ucker	Uck	Freshwater	68	53.630067	14.01255																Transect	
Mönkehude	SH	Coast	67	53.772387	13.972941	21.06.2019	3.96	2.1	23.5								-6.3	0.01	-48.0	0.1	Transect	
Penne Anklam	Peene	Freshwater	66	53.859568	13.687118																Transect	
Peene R. 12.07.2019	Peene	Freshwater				12.07.2019	2.40	1.20	7.90								-5.1	0.03	-41.3	0.1	Transect	
Peene 08.07.2019	Peene	Freshwater				08.07.2019	5.19	2.70	8.00								-5.2	0.03	-42.2	0.0	Transect	
Wolgast Badestelle	P	Coast	62	54.065034	13.790365																Transect	
Neeberg Krumminer Viek	P	Coast	63	54.037492	13.820804	21.06.2019	5.32	2.9	25								-5.8	0.03	-45.4	0.0	Transect	
Lassen Achterwasser	AW	Coast	64	53.951752	13.856466																Transect	
Warthe Achterwasser	AW	Coast	65	53.986296	13.902164																Transect	
Pennemünde / Freest	P	Coast	61	54.138531	13.731726																Transect	
GW Bodden Lubmin	GB	Coast	59	54.136872	13.608302	21.06.2019	13.38	7.7	23.1								-5.7	0.03	-44.4	0.1	Transect	
GW Bodden Greifswald	GB	Coast	58	54.091664	13.473451																Transect	
GW Bodden Fresendorf	GB	Coast	60	54.147032	13.637968																Transect	
Ryck	Ryck	Freshwater	57	54.099339	13.341255																Transect	
Stralsund Hafen	S	Coast	40	54.321876	13.087174																Transect	
Stralsund Nauticum	S	Coast	41	54.306038	13.115649																Transect	
Rügenfähre Stahlbrode	GB	Coast	56	54.232593	13.28978																Transect	
GW Bodden Beek	Beek	Freshwater	55	54.300267	13.416805																Transect	
Lietzow Gr Jasm Bodden 	GJB	Coast	50	54.484696	13.504541																Transect	
Lietzow Kl Jasm Bodden	KJB	Coast	51	54.477751	13.505248																Transect	
Zicker See	GB	Coast	53	54.283247	13.698064																Transect	
GW Bodden Zicker	GB	Coast	54	54.280397	13.694219																Transect	
Baltic Sea near Thiessow	Baltic	Coast	52	54.293305	13.715473																Transect	
Baltic Sea near Breege	Baltic	Coast	49	54.621308	13.379382																Transect	
Breeger Bodden	BEG	Coast	48	54.611572	13.355142																Transect	
Wieker Bodden	WB	Coast	47	54.623838	13.286763																Transect	
Wittower Fähre	BEG	Coast	46	54.556218	13.246093																Transect	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	09.07.2019											-4.8	0.01	-38.8	0.0	Timeseries	
Baltic Sea Hiddensee	Baltic	Coast	45	54.57876	13.097478																Transect	
Schaproder Bodden	SB	Coast	43	54.515075	13.162629																Transect	
Ummanz, Lieschow	KB	Coast	42	54.42364	13.167063																Transect	
Ummanz	SB	Coast	44	54.480404	13.139357																Transect	
Ucker	Uck	Freshwater	68	53.630067	14.01255	10.03.2020		0									-7.5	0.02	-54.3	0.2	Transect	
Mönkehude	SH	Coast	67	53.772387	13.972941	10.03.2020	6.26	3.2	6.4								-7.0	0.05	-51.7	0.1	Transect	
Penne Anklam	Peene	Freshwater	66	53.859568	13.687118	10.03.2020	0.836	0.3	6.4								-7.6	0.04	-53.0	0.1	Transect	
Peene R. 12.07.2019	Peene	Freshwater																			Transect	
Peene 08.07.2019	Peene	Freshwater																			Transect	
Wolgast Badestelle	P	Coast	62	54.065034	13.790365																Transect	
Neeberg Krumminer Viek	P	Coast	63	54.037492	13.820804																Transect	
Lassen Achterwasser	AW	Coast	64	53.951752	13.856466	10.03.2020	5.22	2.7	6								-6.9	0.03	-50.5	0.1	Transect	
Warthe Achterwasser	AW	Coast	65	53.986296	13.902164	16.03.2020	5.16	2.70	7.90								-6.8	0.13	-50.2	0.5	Transect	
Pennemünde / Freest	P	Coast	61	54.138531	13.731726	10.03.2020	9.69	5.6	6.4								-6.4	0.02	-47.6	0.1	Transect	
GW Bodden Lubmin	GB	Coast	59	54.136872	13.608302	10.03.2020	12.8	7.1	6.4								-6.3	0.04	-46.9	0.1	Transect	
GW Bodden Greifswald	GB	Coast	58	54.091664	13.473451	19.03.2020	13.04	7.30	7.60								-5.9	0.02	-45.1	0.1	Transect	
GW Bodden Fresendorf	GB	Coast	60	54.147032	13.637968	19.03.2020	13.88	7.90	7.40								-6.0	0.03	-45.2	0.1	Transect	
Ryck	Ryck	Freshwater	57	54.099339	13.341255																Transect	
Stralsund Hafen	S	Coast	40	54.321876	13.087174	10.03.2020	12.89	7.2	5.8								-6.3	0.04	-46.3	0.1	Transect	
Stralsund Nauticum	S	Coast	41	54.306038	13.115649	16.03.2020	14.72	8.30	7.60								-5.8	0.03	-43.5	0.1	Transect	
Rügenfähre Stahlbrode	GB	Coast	56	54.232593	13.28978																Transect	
GW Bodden Beek	Beek	Freshwater	55	54.300267	13.416805	17.03.2020	14.18	7.90	7.8								-5.8	0.06	-44.8	0.2	Transect	
Lietzow Gr Jasm Bodden 	GJB	Coast	50	54.484696	13.504541																Transect	
Lietzow Kl Jasm Bodden	KJB	Coast	51	54.477751	13.505248	18.03.2020	10.66	5.90	7.5								-4.4	0.02	-34.2	0.2	Transect	
Zicker See	GB	Coast	53	54.283247	13.698064	18.03.2020	13.68	7.8	7.6								-6.0	0.15	-45.2	0.4	Transect	
GW Bodden Zicker	GB	Coast	54	54.280397	13.694219																Transect	
Baltic Sea near Thiessow	Baltic	Coast	52	54.293305	13.715473																Transect	
Baltic Sea near Breege	Baltic	Coast	49	54.621308	13.379382																Transect	
Breeger Bodden	BEG	Coast	48	54.611572	13.355142																Transect	
Wieker Bodden	WB	Coast	47	54.623838	13.286763																Transect	
Wittower Fähre	BEG	Coast	46	54.556218	13.246093	19.03.2020	16.55	9.5	7.4								-5.4	0.01	-41.0	0.2	Transect	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	18.03.2020		9.9	7.2								-5.9	0.16	-42.2	0.6	Timeseries	
Baltic Sea Hiddensee	Baltic	Coast	45	54.57876	13.097478	18.03.2020		10.1									-5.9	0.03	-43.6	0.0	Transect	
Schaproder Bodden	SB	Coast	43	54.515075	13.162629	16.03.2020	14.55	8.20	7.5								-5.9	0.21	-42.6	0.6	Transect	
Ummanz, Lieschow	KB	Coast	42	54.42364	13.167063																Transect	
Ummanz	SB	Coast	44	54.480404	13.139357																Transect	
Ucker	Uck	Freshwater	68	53.630067	14.01255	06.07.2020		0									-7.6	0.03	-54.4	0.1	Transect	
Mönkehude	SH	Coast	67	53.772387	13.972941	06.07.2020	5.34	2.9	20.3								-6.1	0.01	-46.2	0.0	Transect	
Penne Anklam	Peene	Freshwater	66	53.859568	13.687118	06.07.2020		0									-5.9	0.03	-44.0	0.2	Transect	
Peene R. 12.07.2019	Peene	Freshwater																			Transect	
Peene 08.07.2019	Peene	Freshwater																			Transect	
Wolgast Badestelle	P	Coast	62	54.065034	13.790365	07.07.2020	7.29	4	19.8								-5.4	0.02	-41.6	0.1	Transect	
Neeberg Krumminer Viek	P	Coast	63	54.037492	13.820804																Transect	
Lassen Achterwasser	AW	Coast	64	53.951752	13.856466	06.07.2020	4.72	2.5	20.1								-5.6	0.03	-43.5	0.0	Transect	
Warthe Achterwasser	AW	Coast	65	53.986296	13.902164																Transect	
Pennemünde / Freest	P	Coast	61	54.138531	13.731726	07.07.2020	8.89	4.9	18.7								-4.5	0.04	-38.8	0.2	Transect	
GW Bodden Lubmin	GB	Coast	59	54.136872	13.608302	07.07.2020	13.89	7.8	18.4								-5.4	0.02	-41.8	0.1	Transect	
GW Bodden Greifswald	GB	Coast	58	54.091664	13.473451	07.07.2020	13.75	7.9	20.4								-5.5	0.04	-42.3	0.1	Transect	
GW Bodden Fresendorf	GB	Coast	60	54.147032	13.637968																Transect	
Ryck	Ryck	Freshwater	57	54.099339	13.341255	07.07.2020	1.046	0.5	18.3								-6.3	0.10	-47.2	0.3	Transect	
Stralsund Hafen	S	Coast	40	54.321876	13.087174																Transect	
Stralsund Nauticum	S	Coast	41	54.306038	13.115649	08.07.2020	15.41	8.9	18.6								-5.2	0.03	-40.4	0.1	Transect	
Rügenfähre Stahlbrode	GB	Coast	56	54.232593	13.28978	07.07.2020	14.78	8.6	21								-5.1	0.13	-40.1	0.4	Transect	
GW Bodden Beek	Beek	Freshwater	55	54.300267	13.416805	07.07.2020	14.18	8.2	20.6								-0.8	0.29	-30.1	0.8	Transect	
Lietzow Gr Jasm Bodden 	GJB	Coast	50	54.484696	13.504541	07.07.2020	15.43	8.9	19.5								-4.0	0.05	-32.6	0.0	Transect	
Lietzow Kl Jasm Bodden	KJB	Coast	51	54.477751	13.505248	07.07.2020	12.72	7.3	19.2								-3.7	0.24	-30.4	0.8	Transect	
