"ID"	"TL_mm"	"weight"	"sex"	"area"	"capt_date"	"age"	"cohort"	"year"	"inc_um"	"rad_um"	"core"	"d18O"	"sims_dist"
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	-7.6894701	0
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	-7.9610729	39
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	-8.5042785	78.39005039
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	-7.6991702	116.46888
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	-8.5333788	155.4670383
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	-7.7088703	194.8589233
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	-7.1462645	232.9377599
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	-7.0589636	271.9356542
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	-6.3702565	311.3278015
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	-5.6912495	349.4066399
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	1	414.6	414.6	154	-4.090733	388.4044284
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	2	421.5	836.1	154	-6.3702565	427.7966807
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	2	421.5	836.1	154	-7.1171642	466.7943873
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	2	421.5	836.1	154	-7.0104631	505.2682456
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	2	421.5	836.1	154	-7.4469676	544.2655602
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	2	421.5	836.1	154	-7.2626657	583.2632339
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	2	421.5	836.1	154	-6.8261612	621.7370827
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	2	421.5	836.1	154	-7.4275674	660.7344398
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	2	421.5	836.1	154	-6.9619626	699.7320916
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	2	421.5	836.1	154	-7.1074641	738.2059333
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	2	421.5	836.1	154	-6.0598533	777.2033196
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	2	421.5	836.1	154	-3.9161312	816.2009556
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	3	136.9	993	154	-5.9046517	855.5933614
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	3	136.9	993	154	-6.3799566	893.6721994
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	3	136.9	993	154	-6.3023558	932.6698237
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	3	136.9	993	154	-4.4496367	972.0622408
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	4	140.7	1153.7	154	-6.515758	1010.141079
"BH-01758"	682	2580	"m"	"SB"	"1.5.2020"	6	2014	4	140.7	1153.7	154	-6.5933588	1049.138694
